Channel,Mean (raw),Std (raw),Mean (filt),Std (filt)
Fz,-0.0008823106656566312,8.151252861436568,0.002444433794859397,7.908997992086071
C3,-0.0032218790668764328,7.18013919570466,-0.004449903098533541,6.987992791463212
Cz,-0.00048516986189614574,7.982331609905104,0.003714562372538278,7.795090054084103
C4,0.0023118505137618268,8.439584577515625,0.003246664323234656,8.158290661793975
Pz,0.002729930268243874,7.802763017752408,0.0011006257417417334,7.539984522599316
PO7,0.0029534020938950744,7.997092850496399,0.0009737708617399057,7.722355521666766
Oz,0.004816988132004759,7.426721776686036,0.0025739079199544723,7.164079839190877
PO8,-0.15701573334887242,0.01516773804148705,-4.004514475710346e-06,0.005671924999947721
