filename,path,extension,size_kb,n_lines,n_columns,has_header,sample_lines,estimated_duration_sec
opensignals_lsl_ 50hz_0007808C0708_16-23-10_converted.txt,data/eda_data/files\opensignals_lsl_ 50hz_0007808C0708_16-23-10_converted.txt,.txt,60.9,3003,1.0,True,"['# OpenSignals Text File Format. Version 1', '# {""00:07:80:8C:07:08"": {""position"": 0, ""device"": ""biosignalsplux"", ""device name"": ""00:07:80:8C:07:08"", ""device connection"": ""BTH00:07:80:8C:07:08"", ""sampling rate"": 50, ""resolution"": [16], ""firmware version"": 779, ""comments"": """", ""keywords"": """", ""mode"": 0, ""sync interval"": 2, ""date"": ""2025-4-30"", ""time"": ""16:23:14.732"", ""channels"": [1], ""sensor"": [""EDA""], ""label"": [""CH1""], ""column"": [""nSeq"", ""DI"", ""CH1""], ""special"": [{""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}], ""digital IO"": [0, 1], ""sleeve color"": [""orange""], ""convertedValues"": 1}}', '# EndOfHeader', '0.0\t0.0\t16.4444', '1.0\t0.0\t16.4749']",12.01
opensignals_lsl_ 50hz_0007808C0708_2025-04-30_16-23-10.txt,data/eda_data/files\opensignals_lsl_ 50hz_0007808C0708_2025-04-30_16-23-10.txt,.txt,43.65,3003,1.0,True,"['# OpenSignals Text File Format. Version 1', '# {""00:07:80:8C:07:08"": {""position"": 0, ""device"": ""biosignalsplux"", ""device name"": ""00:07:80:8C:07:08"", ""device connection"": ""BTH00:07:80:8C:07:08"", ""sampling rate"": 50, ""resolution"": [16], ""firmware version"": 779, ""comments"": """", ""keywords"": """", ""mode"": 0, ""sync interval"": 2, ""date"": ""2025-4-30"", ""time"": ""16:23:14.732"", ""channels"": [1], ""sensor"": [""EDA""], ""label"": [""CH1""], ""column"": [""nSeq"", ""DI"", ""CH1""], ""special"": [{""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}], ""digital IO"": [0, 1], ""sleeve color"": [""orange""], ""convertedValues"": 0}}', '# EndOfHeader', '0\t0\t43108', '1\t0\t43188']",12.01
opensignals_lsl_500hz_gain1_0007808C0708_16-32-15_converted.txt,data/eda_data/files\opensignals_lsl_500hz_gain1_0007808C0708_16-32-15_converted.txt,.txt,5992.78,283728,1.0,True,"['# OpenSignals Text File Format. Version 1', '# {""00:07:80:8C:07:08"": {""position"": 0, ""device"": ""biosignalsplux"", ""device name"": ""00:07:80:8C:07:08"", ""device connection"": ""BTH00:07:80:8C:07:08"", ""sampling rate"": 500, ""resolution"": [16], ""firmware version"": 779, ""comments"": """", ""keywords"": """", ""mode"": 0, ""sync interval"": 2, ""date"": ""2025-4-30"", ""time"": ""16:32:19.856"", ""channels"": [1], ""sensor"": [""EDA""], ""label"": [""CH1""], ""column"": [""nSeq"", ""DI"", ""CH1""], ""special"": [{""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}, {""SpO2"": [80, 40, 5, 4, 3, 3]}], ""digital IO"": [0, 1], ""sleeve color"": [""orange""], ""convertedValues"": 1}}', '# EndOfHeader', '0.0\t0.0\t11.9354', '1.0\t0.0\t11.9583']",1134.91
