,mean,std,min,max
C4_gamma_std,-0.3855563320764185,0.5951269775802384,-1.3032320576591552,1.5940927461980336
C4_gamma_kurt,-0.0017701388203773365,0.8067572760743625,-1.2317895038125823,4.058463775836535
C4_gamma_skew,-0.027077674551071546,0.7940058354428813,-4.294561866730435,3.0686430482028695
Pz_delta_mean,-0.06644124287277454,0.7941765632434036,-2.86484470723018,2.0490119597156458
Pz_delta_var,-0.22930193705232366,0.8182760732482771,-1.2693964562704874,3.3226647255744224
Pz_delta_std,-0.2402644097606714,0.9007538855509387,-1.9095804444644633,2.7213547109469776
Pz_delta_kurt,-0.11549553824322928,0.8457933748985698,-1.3858590750489568,3.669706229944335
Pz_delta_skew,0.08107046259553233,0.8241731065316228,-3.0026174184913255,2.026928344821889
Pz_theta_mean,0.026244817695877887,0.7750426334791742,-1.8781540205206038,3.3251668527139264
Pz_theta_var,-0.3255921211005942,0.6639478468245462,-1.1530270005450882,3.1767232778438266
Pz_theta_std,-0.3532215592932472,0.7670334803191352,-1.6896769281134258,2.8189494524756173
Pz_theta_kurt,-0.11868526424806586,0.7517221072342494,-1.1887580142814302,5.993293406554679
Pz_theta_skew,0.059806473101299426,0.6740019843696722,-2.0841162422036126,7.171976516718761
Pz_alpha_mean,0.021739963856298502,0.732903577642514,-2.2932135293115543,4.1727063202960455
Pz_alpha_var,-0.2805038703777536,0.5447473767984116,-0.5784922487687697,3.334925799905476
Pz_alpha_std,-0.29218232191497645,0.6532440343038011,-0.953111668744559,2.890459229275121
Pz_alpha_kurt,0.22549802648770484,1.2145831010787476,-1.2798335994183232,6.538029248510983
Pz_alpha_skew,-0.07136984939620898,1.2958577926401975,-14.810276053976738,3.1601038899519223
Pz_beta_mean,-0.015741921555238694,0.8773995229668533,-2.4251119353472617,2.4284411847261875
Pz_beta_var,-0.47046606134492347,0.8730335415927751,-1.4747971846707024,2.8517840114272586
Pz_beta_std,-0.4946398622556514,0.9015668106599293,-1.7943392391336535,2.3963753465290543
Pz_beta_kurt,-0.05713907192236129,1.0093378023716906,-1.4580103259544015,4.602913871538514
Pz_beta_skew,-0.07489606225611838,0.8963092899937121,-3.4812734021894256,2.342259811042736
Pz_gamma_mean,-0.01598751332632452,0.867117219884867,-2.2153495632070705,2.980253054444073
Pz_gamma_var,-0.3931307705791226,0.44718404062773853,-0.9516399099671383,1.5082981292105089
Pz_gamma_std,-0.39951800575820495,0.5816586621527694,-1.3654719896881666,1.602499224896079
Pz_gamma_kurt,-0.010059380331889547,0.7690542616203812,-1.3406125727027178,4.74593081585301
Pz_gamma_skew,-0.014613528348911463,0.6309436421711948,-3.094937993293793,2.358200811433023
PO7_delta_mean,-0.045179305804715915,0.8129694666680634,-3.621752531491422,2.3738901381052577
PO7_delta_var,-0.2040819486511769,0.9207405260232976,-1.3309096370506768,4.007893589544006
PO7_delta_std,-0.23221372081254735,0.9773009410507325,-2.0410629241657685,3.100312415506044
PO7_delta_kurt,-0.1249014846338038,0.825552772241415,-1.3436025270406493,2.860656272037209
PO7_delta_skew,0.09145388905321461,0.833254846885907,-2.1545255880119716,2.945858223790738
PO7_theta_mean,0.032318285010902406,0.7788279722541617,-2.2987133311152887,3.4535253626231146
PO7_theta_var,-0.33203146141766926,0.6989670628034241,-1.0871125938419381,3.2981314269576174
PO7_theta_std,-0.35550434009278337,0.7753221505332712,-1.4958515352570037,2.8504291518703866
PO7_theta_kurt,-0.06012162601140715,0.9811735883404894,-1.2555439162405417,9.391256698090997
PO7_theta_skew,0.07392451225216753,0.8223431672972887,-1.856587032539156,8.700794382686585
PO7_alpha_mean,-0.02178826438683364,0.7299930900922462,-2.54938072533835,3.7711345207448304
PO7_alpha_var,-0.2826463114284105,0.5373978443474924,-0.5450765512065661,2.6587418885187413
PO7_alpha_std,-0.31065710042896855,0.6578051456743069,-0.8816880966899926,2.5305788785084324
PO7_alpha_kurt,0.1109537578113072,1.1489751876975554,-1.4292844487027143,6.924940600446107
PO7_alpha_skew,-0.01713383182455377,0.8277036234371731,-4.038456971117147,7.109303794337384
PO7_beta_mean,-0.048299186747108785,0.9228560683374601,-3.553855191517065,1.968755859449002
PO7_beta_var,-0.3840315100316369,0.9245336555004409,-1.412815445709765,3.390644870536453
PO7_beta_std,-0.40427590453689016,0.9333582647736246,-1.7305655942189941,2.713117620598667
PO7_beta_kurt,0.28438623144146763,1.287774657255514,-1.2050285141952521,6.279464213505903
PO7_beta_skew,-0.20908882694844677,0.8883472283039644,-4.417820201697312,2.5946896680229536
PO7_gamma_mean,0.010590591907720754,0.8292384731254245,-1.999352288203749,2.7886448231760776
PO7_gamma_var,-0.34354389573814026,0.441286408956998,-0.9406991755798565,1.3308844478016826
PO7_gamma_std,-0.32192794236552813,0.5694671097245269,-1.3795152984404286,1.4642293114659273
PO7_gamma_kurt,-0.06844766681657159,0.7562522284091652,-1.1441437659032245,4.072602866237155
PO7_gamma_skew,0.012014206080676913,0.4433115827686522,-1.7191431291694947,3.227453978862616
Oz_delta_mean,-0.05648733669870038,0.7931242291665658,-2.175708325093666,2.26345499226787
Oz_delta_var,-0.24616838675172695,0.8324464766199315,-1.401247356938213,2.478208790213624
Oz_delta_std,-0.26570034579945506,0.9279096017168305,-2.4310189543464875,2.16482229798916
Oz_delta_kurt,0.008018980955321846,0.9263946363658342,-1.355018215819141,5.045082936691259
Oz_delta_skew,0.09053504717011976,0.853394275806629,-2.1180635865436366,3.4808757065624683
Oz_theta_mean,0.024013703985523445,0.875980916605235,-1.982618789218878,4.439505153280353
Oz_theta_var,-0.3734605046867111,0.5898370297475573,-1.176358151963207,2.403745106007887
Oz_theta_std,-0.4036895194450102,0.720958627870966,-1.7533705066456031,2.2704949919043464
Oz_theta_kurt,0.012319124020651587,1.119594539275606,-1.1581156551009077,10.85535003243587
Oz_theta_skew,0.03374517754195556,1.0844128461719231,-5.147816103255368,8.86813944805905
Oz_alpha_mean,-0.0256808651430783,0.7769355781947596,-2.904168360684074,4.224195790674913
Oz_alpha_var,-0.18779544387194438,0.7196351620167781,-0.5733239830775269,3.8321064140911534
Oz_alpha_std,-0.20057497773476204,0.7923477984607722,-0.9764985888630284,3.198959615447073
Oz_alpha_kurt,0.02709636282503814,1.040477130987816,-1.3270162361140114,4.635675108245829
Oz_alpha_skew,0.016868614253207487,0.8309138640220639,-7.355614943513791,4.1179255840975415
Oz_beta_mean,-0.00540658675579043,0.8725096859427325,-3.6015012685541885,2.562458078693388
Oz_beta_var,-0.3314566549256074,0.8923565918742016,-1.3551609283634678,3.0570774374607192
Oz_beta_std,-0.3396636544942868,0.8914087316854741,-1.6973660068145324,2.5210165627280645
Oz_beta_kurt,0.09276689578205603,1.0235651263193803,-1.21526981217799,5.379358496859415
Oz_beta_skew,-0.17146735269397076,0.8742533247210942,-4.280881479363958,2.509498275231488
Oz_gamma_mean,-0.008540870648789336,0.853377173326238,-2.0823146955443597,2.928322091146912
Oz_gamma_var,-0.2948222555529299,0.40987678948705497,-0.8327567217243129,1.1029376390306083
Oz_gamma_std,-0.23799925306555578,0.5246584719630105,-1.1340497794956337,1.284008741057056
Oz_gamma_kurt,-0.10179893756186816,0.693193319317967,-1.2855358819529825,2.165532770026347
Oz_gamma_skew,0.02097564743004153,0.4864813693568321,-2.950431046387932,3.213106535518338
PO8_delta_mean,0.007727638172053168,0.6302414367299931,-2.5503859976937746,4.74937555961405
PO8_delta_var,-0.09006485883174693,0.2402008843209477,-0.14222171271185663,2.019723855214307
PO8_delta_std,-0.14439668237170147,0.5745460278574027,-0.4052563668219963,3.8621570126501386
PO8_delta_kurt,-0.22200609474833224,0.7749269409968904,-1.1950395437938464,2.7051642356103187
PO8_delta_skew,-0.054003823997695696,0.8892733876296044,-2.119416223115144,2.6866170366427933
PO8_theta_mean,-0.010497846425000321,0.9077083822045251,-10.771851652571806,1.7061773058360803
PO8_theta_var,-0.08666049931970066,0.496813651650398,-0.1908166638087341,5.167279027395266
PO8_theta_std,-0.17251306590487375,0.7094763685438511,-0.6173167633897598,6.033953112480091
PO8_theta_kurt,-0.2939420079495336,0.9125934672815501,-0.8480920105388885,11.38131524044045
PO8_theta_skew,-0.03198229867368718,1.028264916342134,-13.794259769273326,1.3660138641509902
PO8_alpha_mean,0.06967538078355713,0.7342629169424242,-9.002657491667252,1.4407038722125438
PO8_alpha_var,-0.0429542132125937,0.43125214055153704,-0.11518334369953523,4.513055963292068
PO8_alpha_std,-0.03218383722739259,0.7316103444707995,-0.38201318243774784,6.7444137036093315
PO8_alpha_kurt,-0.15868766493403785,0.9026775580559446,-0.8376434611841627,11.649356635820165
PO8_alpha_skew,0.005726389847361798,1.0302787687318193,-14.062616004750186,2.137254143405223
PO8_beta_mean,-0.040865514072488215,0.8489689655822314,-9.94341494383486,3.472482866503589
PO8_beta_var,-0.04523239718662572,0.05535951974432843,-0.05881909267223299,0.5185117290252389
PO8_beta_std,-0.10045422933127292,0.3505722112077537,-0.284940886606896,2.922675481368646
PO8_beta_kurt,-0.02787308559905808,0.9577250464282981,-0.4325666510848174,13.330538975898735
PO8_beta_skew,-0.14764987557447867,1.0673001350729165,-14.276269508532582,1.0620993613806433
PO8_gamma_mean,0.03641141472232917,1.0117635851943356,-1.469359432849392,12.43748327749234
PO8_gamma_var,-0.04273363042163534,0.013306329372321289,-0.049084344820622614,0.1408846635208543
PO8_gamma_std,-0.0838821043014645,0.14127325516362496,-0.26620537317659565,1.6410658108197647
PO8_gamma_kurt,-0.06244296154329462,1.0089458622069711,-0.3886747318982148,14.038972953999806
PO8_gamma_skew,0.0170195380089552,1.1418269430182286,-0.7126088855080487,16.12195436981228
