timestamp,mi_score,behavioral_state,theta_fz,alpha_po,faa,beta_frontal,eda_norm
0.0,0.4341529882040865,Neutral,2.7715334752085825,0.3763342536221739,0.7707499197958911,0.2406981120206194,1.1329264298850874
1.5,0.38726825226785316,Neutral,2.1402293735437423,0.7445075064976493,0.11467400800696845,0.2229264096550254,1.129931222958927
3.0,0.41859311444341496,Neutral,2.0010040647501306,1.0188562248987258,0.7573041676632529,0.44082782817224997,1.125688013146866
4.5,0.5934638510541396,Focused,4.152101680067099,1.559910057533984,0.8397618784442961,0.3432956171112849,1.1077167715899028
6.0,0.6311910471796994,Focused,4.760528140094977,1.5988843800071575,0.927992885276435,0.5340506098784142,1.0534286460532427
7.5,0.4635117356215819,Neutral,2.410960469353974,0.9541751494344645,1.0994162757349004,0.3749073465736709,1.0076269401407043
9.0,0.3364730387823848,Unfocused,1.9304357515465453,0.18458083902534742,-0.10574267745488336,0.3560626461180345,0.8883178642486423
10.5,0.2936206810405326,Unfocused,1.0346724288787563,0.25155618037015337,-0.12671193356686344,0.32636815445191825,0.8341545390005723
12.0,0.3083306901849478,Unfocused,1.1953936591257492,0.27562940182409174,-0.03771613089873968,0.34798178928868523,0.7730023975914612
13.5,0.4768373833072281,Neutral,3.929588024980897,0.1932106630655031,0.19596846464504097,0.3285376027483545,0.7555303571888579
15.0,0.36427781352138267,Unfocused,1.606436759802137,0.3623152198830021,0.5457621384679285,0.3165101920266667,0.7380583167862547
16.5,0.39096444766874683,Neutral,2.1581455462065935,0.38673001480616653,0.35314898503330916,0.25343114389246973,0.7472935381419163
18.0,0.4482662267952934,Neutral,2.6076344824983266,0.4823857919558914,0.8804991595380474,0.3175578708485489,0.7243302850413521
19.5,0.5078241451446471,Focused,3.1606500862194893,1.238600924713985,0.5865985180429134,0.41421908871428204,0.8246697170677306
21.0,0.5640952681559659,Focused,4.235273233753976,1.1286670594285781,0.5155620183963942,0.4253044287336431,0.8166824985979692
22.5,0.5039659349026688,Focused,2.947770926983775,1.0883911833842848,0.9491615923530154,0.38715195556971765,0.8329065361146721
24.0,0.46471557669148866,Neutral,2.2786977739156264,0.6943585503561646,1.395324129400237,0.2769078366886027,0.8144360934033488
25.5,0.6364693685177254,Focused,3.943286089459399,0.8145677988615404,2.7394989316790785,0.34066869822058904,0.8412681554502037
27.0,0.4802557161335912,Neutral,1.3684232237833711,0.8974527130078626,2.6162272204006483,0.2690145648730837,0.8558697892152364
28.5,0.4948309560471748,Neutral,1.4407913653682878,0.8434804570172688,2.9014910016203213,0.2711159537775068,0.87583783538964
30.0,0.6340643112056336,Focused,3.8561285711214914,1.204783036414592,2.298754686340872,0.3294271622013763,0.8391465505441733
31.5,0.6881828277055472,Focused,4.198185465823676,0.9415375499762229,3.375217702721668,0.3351403947021854,0.7871048302021337
33.0,0.8550688636509176,Focused,7.0688352980755536,1.946837492915923,3.5623216253996386,0.49191079406946364,0.7844840241417432
34.5,0.658282430782665,Focused,3.119795684229859,1.8858577328934931,2.884250035948256,0.4216864440290675,0.729072696007773
36.0,0.45615451638327276,Neutral,2.057605953574044,1.6127346643514098,0.46472972848423255,0.5293328434904653,0.7130982590682501
37.5,0.49754125248962383,Neutral,3.182084078403578,0.952628521090451,0.7697031739243483,0.6397024517121213,0.6766565747999633
39.0,0.528374931672835,Focused,2.868585277740622,0.8584470798569016,1.769541756814377,0.48129007960586784,0.6656741494040413
40.5,0.4741289643602235,Neutral,3.01647644388546,1.0745133139994463,0.27406586563633667,0.5718596164209654,0.6357220801424358
42.0,0.5098741647555055,Focused,1.9884554332658986,1.2695386138709832,1.9334725050589245,0.42849134179495946,0.6494501118873384
43.5,0.6158087572999832,Focused,2.0997582834016386,2.061245440371357,2.9548556506042187,0.4143262978714816,0.6485141097229132
45.0,0.5908022456435433,Focused,3.10873595678798,0.997415449206757,2.47477243624185,0.3813590494646381,0.6467045055383579
46.5,0.5002635772530791,Focused,2.4250191377587234,0.6479949409644254,1.879633925924167,0.32843524798238205,0.625738057055234
48.0,0.5089143033687316,Focused,1.4213108096246234,1.2187383618999954,2.606117049295605,0.34575841560902915,0.6247396547465138
49.5,0.4655657162398233,Neutral,1.6282061001203076,0.7649788897256504,2.0167162880993637,0.3328506661773721,0.5977827924110689
51.0,0.5187158671095488,Focused,1.2986527648908999,1.224899317440932,2.892563027631117,0.3156215372311311,0.5810595537400057
52.5,0.4824466230725153,Neutral,1.7099753294284825,0.8556848106346678,2.141411705646166,0.3881890027976757,0.544742669760309
54.0,0.5297997470116428,Focused,2.0681381533597434,0.8289574607034286,2.9213452470253727,0.3669171066084493,0.8944330783895534
55.5,0.5587601478936656,Focused,2.3053588754992376,1.0385442041325652,3.6253120094828293,0.34921114988850027,1.8168320113584133
57.0,0.6263122602530364,Focused,4.442887152672902,0.8261747318777308,2.4459311140017843,0.37698910479018427,1.5564986093596254
58.5,0.5413341840981101,Focused,2.9278324889757465,0.9643523533432303,2.458822852903345,0.472168220579861,1.521804129131599
60.0,0.4822427655126537,Neutral,1.5128199817646284,0.8727362172527721,3.164864935955193,0.4433119164782249,1.5594938162857859
61.5,0.7459698205003437,Focused,2.245417200200662,3.221197725092339,5.005960012047627,0.4785196585101937,1.4589047836822273
63.0,0.6513272196360236,Focused,3.086867974905695,1.6897920786370664,3.5954168104188176,0.4720490247457398,1.4504183640581059
64.5,0.643365602625788,Focused,2.8481234069240906,1.3051146956026416,4.060000233040111,0.33663282733750816,1.3987510445818363
