theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm,phase
25.355857002641873,4.390850511658409,4.707143390241944,4.681657145265223,-0.005429087012035705,4.526389789834967,4.7608088649507,4.620329358800482,0.0,relaxed
121284.42697658374,299923.6630279204,351042.18470643496,351295.77900794736,0.0007221432576187681,351270.40350155625,351703.9594007859,353923.47385966376,0.0,relaxed
3.137705794049469,6.720639898981235,1.6553200595262094,1.7190966551091973,0.037804572543716275,1.711741756383811,1.6637032580517201,1.7974520224006074,0.0,relaxed
142531.255911949,49062.3525951716,59880.47572114205,59937.97023696806,0.000959693973310749,59948.70424272357,60088.62042659399,93936.93810212382,0.0,relaxed
11318.373894859838,9654.561169871715,3619.1520337811935,3623.4311947941096,0.001181667196849645,3622.4356637057745,3626.6585046044374,6011.4494372949985,0.0,relaxed
60.232322546316794,15.81401113036868,18.485868743538244,18.483179574597614,-0.00014548218394905277,18.31051979696776,18.7896671716642,1033.7462702442804,0.0,relaxed
39.135895966868844,7.982907315578391,8.209189635849008,8.238684715359415,0.0035864951860493655,8.049917384193119,8.173582934426989,76.39949475884188,0.0,relaxed
599191.8559402174,132588.89766262015,162462.6989261478,162625.5443277321,0.001001853611038328,162577.4621849932,163068.9511980288,2328016.7927484135,0.0,relaxed
115.48200319466068,58.70992884698391,71.20893157189596,71.74792163499521,0.007540633483415604,71.33303651793229,71.90767083681554,570.8028172244686,0.0,relaxed
772287.2048712805,108759.45574137146,137837.64378662454,137985.99370994678,0.0010756869061214758,137965.01664709017,138546.54742216226,1223553.2250895435,0.0,relaxed
15247.970405546646,4319.316125355155,11138.615375279025,11139.613736659801,8.962663741485244e-05,11144.738701806384,11163.194618352398,115366.31633448237,0.0,relaxed
2165.55081568332,247.40797206673318,892.113945352847,893.8823605371053,0.00198031290023426,892.9238051972219,898.8515917673473,4109.758683489159,0.0,relaxed
37286.81586427259,83636.93423252582,164453.00400048832,164555.5120693213,0.0006231332451474003,164520.58677794322,165004.4016604665,2425500.6168064554,0.0,relaxed
103.52188434419375,28.18197844775593,28.583225553621553,28.308367099598094,-0.009662608467833067,28.56525539724728,28.117129162997447,4372.5822328404,0.0,relaxed
669522.1566930446,279064.04998489073,190316.0572327928,190397.98969022778,0.00043041468715010467,190396.48895698847,190898.1614030585,2734819.077013228,0.0,relaxed
5.942077127251046,20.207220173464997,5.146459580381078,4.7342500582044735,-0.08348568652200372,4.962221902508374,5.0892911633567515,82.80870745606768,0.0,relaxed
38893.52362027418,12166.263270191566,12628.267345023924,12652.533552842031,0.0019197346926347336,12635.580094392566,12678.639580318008,147366.332577535,0.0,relaxed
2515.760399342057,365.52651174888297,688.5170038821987,689.3683867435246,0.0012357819822392813,689.0675220220015,691.0514662113299,14306.68890187036,0.0,relaxed
4135.400486837844,323.7884170763901,668.2581564578544,664.7605094061041,-0.005247721082903389,665.4048019415167,666.507769780352,7491.140011596548,0.0,relaxed
245.93557923372026,31.966409281902113,54.22458419911797,55.63419389612333,0.025663621732247677,55.98506748545856,55.90365816322304,1413.4511748610237,0.0,relaxed
859.2445338824232,52.628575162886456,28.852331483820286,29.80872435864675,0.03261031068021314,29.880710884596205,30.583467807222,718.8912741699625,0.0,relaxed
918983.5408675346,301178.0109795397,73618.11070217303,72865.22390792769,-0.01027957789212941,72931.03689221888,73048.87405050264,1122797.4245543203,0.0,relaxed
19727019.38798335,6398195.7392959045,219772.0571914053,216594.46132477192,-0.014564142294959836,216234.59821139922,216561.06187388964,3598156.678039421,0.0,relaxed
20191568.28724292,9643890.443776416,1815258.8781068746,10062628.178739717,1.7126002908118672,1816766.581828502,8467105.794758826,16687952.307156086,0.0,relaxed
17602.905035461765,4562.110663914386,81712.5829598556,72878.07023450658,-0.11442023027268355,82263.90469675892,44217.72135066566,4471.469801270568,0.0,relaxed
13083.093720898105,2287.6542456969264,172597.3344214491,37187.11718301559,-1.5349989458388116,106756.02798733521,6422.042357328038,40.03243194972684,0.0,relaxed
353979.5814135575,132103.200188877,3324222.2096629273,11844.271355529825,-5.637146683041099,1232971.8092942215,921488.5073949351,1265.3327461111244,0.0,relaxed
839.9799740002991,535.7062120738741,856.8093240099888,280.65719845598346,-1.1160814111271762,4074.3667833693194,5496.170071226261,20.635584110994245,0.0,relaxed
138152.851325,48313.400214525354,2540823.111922202,10920.081917118448,-5.449639895471275,717246.5975590057,1070780.740927865,3268.7043552440764,0.0,relaxed
306.0441956428156,42.397349554370265,325690.5571106672,7316.698611317071,-3.7957885024070688,153206.55130584017,260184.30020645887,332.5572898837124,0.0,relaxed
482.1193678854358,46.957915580609395,1568.49903824191,274.71088844299226,-1.742155184535087,7877.166498518624,1696.8352705346713,45.643664866615225,0.0,focused
1354.3396760811859,399.3371729459722,6513.997015651489,410.6996667694418,-2.763846318079498,3702.971652119678,5036.055020650891,1236.5744395013103,0.0,focused
447755.0723807716,132925.81773974007,11050790.016192587,97688.34676244628,-4.728474922850442,5592125.651955582,6720506.619641489,12655.895661610239,0.0,focused
722.5803043727706,289.6906830795617,17652.7844315019,91.22716110609595,-5.265296136081876,6236.315199478897,2666.464701956121,274.7724897578222,0.0,focused
13.879370115662086,4.216378904883935,3217.40220641647,4.536532345736072,-6.564166622820616,5365.415365414625,1286.0000988217294,4.277880923117387,0.0,focused
5923.752607771306,1432.5858590477012,49925.5533950363,227.33024031270926,-5.3918844792860865,26325.21141032855,18344.88438557979,424.70140462228,0.0,focused
