feature,spearman_corr,p_value
theta_fz,-0.036788346595127655,0.5146637919683478
alpha_po,0.05643056385213305,0.31733309177660524
faa,0.12476427447307588,0.0265724771243568
beta_frontal,-0.07220020347860794,0.20052972795867374
eda_norm,-0.04121539915301882,0.4653487635500023
