variable,mean,std,min,max
mi,0.26766073258423956,0.0304004098174057,0.1451994299389531,0.3040344733189106
theta_fz,4.882083738651672e-08,1.414963984928118e-07,3.21593434126998e-13,6.81059307708618e-07
alpha_po,1.2250017545486105e-07,1.1548719445974415e-07,2.632042020949604e-09,4.221235601172694e-07
faa,0.36478646960278177,0.9029419958546674,-0.8513336364188682,2.8633343256818087
beta_frontal,1.2990446254533242e-07,3.8883045301786993e-07,1.2837044706399884e-12,1.8781437676120585e-06
eda_norm,18.75759014529274,0.6039945338463523,15.681950038909912,19.32350078582764
