variable,mean,std,min,max
mi,0.9996475906918347,1.1159311497808503e-15,0.9996475906918348,0.9996475906918348
theta_fz,2.3693138676779558e-05,2.4331669085596448e-05,2.4139571865068865e-06,0.0001369690324974
alpha_po,1.0640713676951449e-05,6.56786179109941e-06,2.21035969847396e-06,3.92226479323723e-05
faa,0.03190398979210773,0.48568660993871904,-1.2189728874890091,1.2449639167239468
beta_frontal,1.250012277055103e-05,5.559785470893758e-06,4.231709670670614e-06,3.003178689485218e-05
eda_norm,9.223861323765346,0.9784149176764396,8.579442796707154,15.30995278930664
