feature,spearman_corr,p_value
theta_fz,-0.04691125476261826,0.5806839329054311
alpha_po,-0.13528832569887408,0.1097045402481018
faa,0.6177404854659874,3.365545198435071e-16
beta_frontal,-0.1643178218245644,0.05152836179062254
eda_norm,-0.9814546855601695,1.3192859533068106e-101
