theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm
17655.509683752876,7542.900714158559,211825.45609539878,911880.3587752009,1.4597461806622274,1540106.07767831,134478.95935050704,287395.044585272,2.9677203807830814
10796.403153411837,4108.316683187824,42741.604338616155,222650.45102022807,1.6504302711012357,439941.87100652047,29960.467904604993,73489.0127449447,2.9499628086090084
26855.45282476581,9564.591117373675,129398.84747187771,417542.8839930055,1.171487779848519,678581.4005238416,63682.54426172859,130087.10062036802,2.932275602340698
15155.6978672483,3876.689341017295,258038.3511798163,987733.0482263957,1.3423042452776137,1574944.3552161944,142347.43222754396,304866.724282172,2.914509990692139
23293.27499348456,8976.131979753816,128393.56838571615,662385.0532392634,1.6407467387147836,1307043.3000317942,94553.91059821722,218279.28902980068,2.896213600158691
31263.085662407768,6094.998130563968,72173.45507050183,422444.0864817598,1.7669847783587045,893020.3412575591,60367.039332954606,142217.3853151063,2.877293603897095
28579.610096898363,10426.223624309945,93649.13668923217,146910.99734163765,0.45027173278627686,142995.04422252957,23705.9169582721,36063.0777497785,2.8585855865478518
43471.36820973017,17427.803542278,39472.45029075019,492329.02245688654,2.5235442702386237,1196523.1590103554,57119.620432689684,161798.343954214,2.8403595905303956
25509.181518558136,13509.363454184342,357890.278373048,1276890.3339538237,1.271956520036868,1726408.1159555032,177096.77091649972,365449.37415191496,2.822466812133789
28183.156469429872,8029.844168957359,126906.38744629154,517365.9477623902,1.4053007455032347,781936.0849833103,71256.32400049511,151809.53307572458,2.8040104045867924
8506.722883145194,9201.828039404749,42932.38365884914,410628.421138923,2.2580623157345183,1011977.0405767801,48583.667632421886,138358.30605246627,2.7845867996215823
29636.303999596454,5436.886501553256,37140.51898689832,127833.31771369248,1.23601868032544,231937.93094882177,17810.85921740717,39409.28345403978,2.766516021728515
15934.728948668333,32600.681880384916,72866.40532083345,325437.0217167167,1.4965412608223865,519536.4365135893,42871.26501454925,97195.82374610975,2.7509291915893552
26182.141350498347,10350.946340315315,93768.24923327424,188334.76717165747,0.6973947513548584,230794.01293967967,29509.73874457612,52810.30276996257,2.7354012050628658
6129.052029843395,2840.327861740496,141118.06108055715,650279.4884390591,1.5278054000321344,1040359.0416157352,87098.40711669951,195683.43580949146,2.7201699695587163
25634.58001222571,9547.72951372191,42376.11674571017,411078.7352344672,2.2721998468279736,916449.3012131487,48652.46096145909,134949.94116817656,2.705254430770874
9513.042556457478,3209.4568149960965,58034.8844495905,199624.14125539747,1.2353920189652765,287962.4870827726,26763.25493868384,59690.97306581504,2.689786800384521
34489.03001796297,11623.841208302225,75368.35749879414,143242.18096074584,0.6421492458224751,304634.67196677154,20016.38008601962,41415.74552754317,2.6746331844329836
16401.313703121934,5799.811139101701,33498.89118069218,161325.81802933937,1.5719136953010988,282973.18877852603,20766.445147320635,49253.706719012764,2.6611275730133057
18903.22602740285,16595.217151828158,35724.67159648904,187433.72073889134,1.6575837622924219,401124.670274058,24341.39247225906,60922.462000147934,2.646459991455078
14122.531757237546,6535.599481217722,72902.44724472964,96385.99668986672,0.2792387201738826,66639.89723694319,16041.893197918926,24644.246521714376,2.632483213424683
32672.86286082586,9769.812986606761,19664.72856034519,125677.52523761845,1.854892700170545,233259.43258509037,16680.79648805462,37840.866777226765,2.6186159820556645
2915.592104932337,5468.020552592452,14767.124262243722,95332.8253627831,1.8649708174579143,182785.75866973778,13144.93140813307,28180.64568458859,2.605919990539551
31089.324756418504,6005.344993636597,11674.726177892107,72512.18297651196,1.826328239231751,176433.4218981836,9684.360660625272,23839.765789219513,2.5923076095581052
