theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm
304465.076362157,100361.16128908271,630807.3635456291,1655290.9088968388,0.9647315197677653,1732994.649376622,985791.5989411278,1222667.4981577569,1.6352751932144165
214347.9817848137,117455.11710894165,575508.8064423511,1400750.674111539,0.8895090374052241,1379044.173092229,861347.9661439611,1006290.2870890397,1.6302055959701538
168699.190529725,67956.07229995531,747779.3680653556,2062411.0014549848,1.014522994483082,2169393.2699631546,1237251.8342619564,1532741.260249043,1.6227647895812987
151752.63196475062,95921.97776626964,1367945.4204496704,3863956.353736176,1.0383816995972115,4087400.91098645,2311743.3421065575,2860626.854753463,1.6145740032196045
126621.62680471461,44056.96832478626,258784.9623895256,714627.3691756467,1.0157637890521265,762330.1835164337,438292.73008295946,538870.6154403494,1.606192000389099
177420.89657816797,119013.0309011609,354561.25519548095,891930.2566128875,0.9225068176071574,928100.7417163235,538527.131538872,657301.1382766521,1.5995887937545779
172803.71278067608,162172.15288029567,706327.7760885196,1659270.1907670612,0.8540537387301796,1654795.1739571686,995758.3312038496,1202892.6389351552,1.5973095874786378
175233.063821494,87713.7776801432,642789.2165976469,1349935.486961741,0.7419952248048283,1291472.3520310535,828063.8009314546,951324.9321110278,1.5940011940002443
93666.00931105335,87474.13116212982,929379.786611189,1917568.82889017,0.7242959601597558,1878420.8384304857,1130115.5913029606,1354232.3200347733,1.590115595817566
306481.48769911623,114158.48974304734,358307.58141222195,1132346.680023855,1.150655682830001,1213454.6325906496,706972.7487734549,849081.3701269302,1.584435606956482
225685.53440492606,93703.84613698183,1028953.421698453,2909148.704503938,1.0393183067490064,2987156.6141029787,1756826.1880130332,2100807.815339975,1.5772124090194701
192104.268030347,235858.22876515568,1002787.4137637236,3423243.9062503586,1.227805075992075,2232309.615580678,1324304.3473751885,2019723.7838553814,1.569035604476929
434173.2360408427,106662.16221854227,157381.0666445099,427389.10202764045,0.9990248036686182,286185.59332969453,177297.9323429242,200795.86209771375,1.5608183975219725
96795.91345461737,67070.74864277433,353043.8362895462,1375662.2885260114,1.3600983271734552,1779620.0692633837,789332.5320866001,1116733.0252346173,1.5522188110351562
227996.05865495704,95641.00601758694,633630.711092121,1779259.1589072314,1.0324860436736873,2026591.393119019,998966.2838107521,1320976.7392312917,1.543167607307434
259006.44418081822,97950.42597558239,1705386.1686630072,4432465.8111667195,0.9551644687451901,4948280.10711175,2633105.562088587,3194305.4715815666,1.5345219955444338
95299.51810710924,110266.65939977359,460040.2352010028,1197167.9540649797,0.9564000547308318,1379088.0162401292,682490.7818251261,894406.8883139353,1.5257655963897707
372864.1520934362,101330.07249918468,544512.3659987687,1189379.3032442732,0.7812962032590942,1249473.7950555857,669257.7052090752,848187.211345742,1.5169699974060058
377671.58301135007,160624.4009423164,486408.320661067,1198271.2915156824,0.9015867695965962,1400715.3585398744,720811.027663125,899124.8626311389,1.5083423843383787
264835.77333129506,108665.52275305081,796823.1755558957,1376789.278249673,0.5468766657894442,1388532.7732926838,810943.1437893421,947714.369901754,1.5009063920974732
215349.7073645444,65871.99018847194,1237886.6273772835,2680147.548139495,0.7724662554539261,3127221.348736508,1687920.8607923535,2036537.626229024,1.4940268068313598
242534.58194099518,61502.9800300379,244102.73635425785,452397.5956191682,0.6169722421960362,506763.1612700356,284520.48659474624,336751.6203394512,1.4871292047500608
15120.656383013375,18805.732314997498,205470.27260125065,538797.7953925842,0.9640389882313247,729343.2827771248,373309.8370413191,455111.4926737774,1.4801908063888551
193825.65293151198,175373.4326688522,471380.6623885024,731904.4018785137,0.43998393890739784,738314.4440075206,454121.75386520795,513975.06423459883,1.4741851959228516
285489.45666764793,83549.1439730301,378242.432449211,1041292.6070780947,1.0126827660818378,1389663.5267411983,663107.5706464284,856341.5207504868,1.4702219982147215
184034.555372096,89222.21289854964,666417.06674191,1753257.101249715,0.9673148368620375,2046210.4902288076,1028291.7630009695,1306816.0199494222,1.4655148000717162
10553.031768755465,135548.4543532456,495109.1118554589,1086874.739047669,0.7862834787455188,1179401.7809515118,647532.2097606852,781980.2638389298,1.4588676061630248
