feature,spearman_corr,p_value
theta_fz,-0.19779596467061017,0.2092506881850695
alpha_po,-0.22923588039867113,0.14420462769899864
faa,-0.717851065553845,8.753540174046712e-08
beta_frontal,-0.1271371849931124,0.4223555400062001
eda_norm,0.6330929422251034,6.8192965342013054e-06
