mi,raw_mi,emi,timestamp,state,theta_fz,alpha_po,faa,beta_frontal,eda_norm,theta_fz_norm,alpha_po_norm,faa_norm,beta_frontal_norm,eda_norm_norm,mi_universal
0.984841334447817,0.9999963534470344,0.9835749339914776,1750884224.8457596,continuous,17722.309769228905,148797.81627030112,7.552418548122653,16107.89229820656,3.344613466310741,0.3819278166625719,0.34677302353079775,10.0,0.7754067907582202,0.2790308048584933,0.9961143785441319
0.9848473833721522,0.999996357877756,0.9835831158967752,1750884225.888733,continuous,183995.6729859491,468873.72015312745,5.621636084546279,42575.83071746396,3.3405811060613133,4.295381259431515,1.124016579168506,7.929437982219865,2.101232739881776,0.26539875164117754,0.9888277985856376
0.9847869198678084,0.9999963134252624,0.9835012960280556,1750884226.7324708,continuous,78767.41380337009,350929.84449656075,6.152350251978961,35287.14477892287,3.380816485534362,1.8187013799375285,0.8376122726620072,9.503920469002518,1.736129542222119,0.40142103146435104,0.9937835580858336
0.984750172135314,0.9999962862298984,0.9834515299757056,1750884227.8862472,continuous,38702.88586423961,70705.53861260365,5.592868481492428,14577.024500198104,3.405193375822288,0.8757321528584907,0.1571407556274449,7.844092442239065,0.6987229093343267,0.48383109532827384,0.9912336401164358
0.984789653479088,0.9999963154428836,0.9835049968878812,1750884228.5880811,continuous,38891.27743472136,176289.4194450787,5.703942177885679,41054.23440571321,3.379000807527321,0.8801661862227497,0.41353116165533255,8.17361744919221,2.025013283637988,0.39528283505171563,0.9903106643191344
0.984845446011678,0.9999963564590734,0.9835804954676411,1750884229.9491005,continuous,42596.310002816535,429544.4890064692,5.453115777648816,27400.04458538893,3.341872770223187,0.9673688035192107,1.0285130092774204,7.429484734013147,1.3410507138568346,0.26976543356054733,0.9884195065013398
0.9848848029733374,0.9999963852059464,0.9836337128081936,1750884230.7759516,continuous,8970.28904748154,179713.58841647653,5.66326927175051,29318.492988801256,3.31560100382896,0.17593796379560844,0.4218461058112283,8.052952160179547,1.4371491947815185,0.18094943115852383,0.99174444249519
0.9849097637697338,0.999996403357887,0.983667446633646,1750884231.8520386,continuous,91338.5062684914,237735.82549577107,5.415820252038149,56566.0609729655,3.2989041131944514,2.1145779060102785,0.5627420911274934,7.318839201044973,2.8020281706835153,0.12450286199952423,0.9867290203977438
0.9849345067891582,0.9999964212904778,0.9837008727591192,1750884232.8170717,continuous,50961.14462548327,734258.4155375361,5.67484371985381,29888.780817194976,3.2823260369612357,1.1642457429096817,1.7684529198932328,8.087290353789449,1.4657159229254677,0.06845796435329074,0.9904651774049695
0.9849462487156472,0.9999964297792704,0.9837167306317548,1750884233.877251,continuous,63954.403085615006,803479.6553917397,6.466659180627872,21936.599221728204,3.2744494433379057,1.470058478454782,1.9365435569492093,10.0,1.067377051782348,0.0418298515849325,0.9953664884871783
0.9849523908359028,0.999996434214266,0.9837250245774736,1750884234.7033668,continuous,40286.64350922768,230769.5770787864,5.170214423804075,44872.58603379482,3.270326841536479,0.9130078877590462,0.5458258796183169,6.590194482406765,2.216281284613291,0.027892722044280328,0.9852439328581879
0.9849646758024913,0.9999964430735934,0.983741610980331,1750884235.8114734,continuous,14698.982521583504,160260.15609079128,5.36394226749684,5466.122491378967,3.2620761765906567,0.31076999440517455,0.37460713928250045,7.164931536388118,0.24234167888588262,0.0,0.9916200928927138
0.9849812177696108,0.9999964549793172,0.9837639397180116,1750884236.7289772,continuous,11671.681222653322,47105.98009389623,7.7519744523612095,2808.382500746074,3.2509559880548986,0.23951863783547786,0.0998337089174395,10.0,0.10921077198303411,0.0,0.9970869529266205
0.9849958535721474,0.9999964654906112,0.9837836904856893,1750884237.8204129,continuous,4747.255351652497,53729.128441121335,6.0589724090866905,2925.664900203866,3.241107140354176,0.07654353623278441,0.11591676705604204,9.226894176302181,0.11508565525174687,0.0,0.9961667839872517
0.9849949250271136,0.9999964648243664,0.9837824375689868,1750884238.7402427,continuous,7566.428801204889,360470.0088379313,4.96991134674635,14724.113101874922,3.241732265721614,0.1428963412069258,0.8607787502509276,5.9959505254352035,0.7060908381028754,0.0,0.9853627603483784
0.9849912288181956,0.9999964621714396,0.9837774499644903,1750884239.7185,continuous,127513.39632025476,381664.4854051336,6.110206854220675,46145.71361220029,3.2442202908309863,2.965999596629124,0.9122455121256451,9.378892637119073,2.2800545015997224,0.0,0.9941103678962373
0.985007920411432,0.999996474141022,0.983799970958761,1750884240.75028,continuous,15898.301828180516,466892.4357710511,6.484359563440516,29834.529764028142,3.232979902909629,0.33899748784478145,1.1192054062586634,10.0,1.4629983915138207,0.0,0.9957282656987708
0.985022835780116,0.9999964848136598,0.9838200902399474,1750884241.7800646,continuous,12582.33642174961,399259.3129120314,5.489500460716942,73034.42461653515,3.222925221620493,0.26095205720664766,0.9549712097692258,7.537428048500166,3.6269576953178024,0.0,0.9859276605138483
0.9850982826088156,0.9999965384645844,0.9839217854438944,1750884242.7154288,continuous,175889.7374351307,462327.6622726029,5.222782206146792,54626.24143297847,3.171913767100579,4.104597836431484,1.1081207205901242,6.746148586794054,2.7048591716480446,0.0,0.9837172123115121
0.9847456518438004,0.9999962828752824,0.983445406304196,1750884243.856192,continuous,95466.6359680186,374451.8936812957,4.133305624869859,116386.54692778598,3.408187950556003,2.21173864824988,0.8947311026721577,3.5139722059026353,5.798542342349304,0.4939547449052248,0.9032475057298702
