variable,mean,std,min,max
mi,0.7563376216258177,0.040279743120608655,0.3481922675026123,0.8248286283915578
theta_fz,480.7379355016484,351.7069366554618,5.15326905846193,2088.0192380236604
alpha_po,18100.926485373835,15215.968878863987,4.034956681941725,94933.48344759185
faa,3.4098782526359077,1.127972593850231,-1.161080902705747,7.674650497192466
beta_frontal,256.666472299667,156.07939489057154,3.239092044582164,984.1537482797772
eda_norm,2.4622528939435124,0.25704890110233225,1.9852043972015383,2.9941255950927737
