mi,raw_mi,emi,timestamp,state,theta_fz,alpha_po,faa,beta_frontal,eda_norm
0.984841334447817,0.9999963534470344,0.9835749339914776,1750884224.8457596,continuous,17722.309769228905,148797.81627030112,7.552418548122653,16107.89229820656,3.344613466310741
0.9848473833721522,0.9999963578777561,0.9835831158967753,1750884225.888733,continuous,183995.6729859491,468873.72015312745,5.621636084546279,42575.830717463956,3.3405811060613133
0.9847869198678084,0.9999963134252625,0.9835012960280556,1750884226.7324708,continuous,78767.41380337009,350929.84449656075,6.152350251978961,35287.14477892287,3.380816485534362
0.9847501721353141,0.9999962862298984,0.9834515299757055,1750884227.8862472,continuous,38702.88586423961,70705.53861260365,5.592868481492428,14577.024500198104,3.4051933758222876
0.9847896534790881,0.9999963154428835,0.9835049968878812,1750884228.5880811,continuous,38891.277434721356,176289.4194450787,5.703942177885679,41054.23440571321,3.3790008075273215
0.984845446011678,0.9999963564590734,0.9835804954676413,1750884229.9491003,continuous,42596.310002816535,429544.4890064692,5.453115777648816,27400.04458538893,3.341872770223187
0.9848848029733374,0.9999963852059465,0.9836337128081936,1750884230.7759516,continuous,8970.28904748154,179713.58841647653,5.66326927175051,29318.492988801256,3.31560100382896
0.9849097637697338,0.999996403357887,0.9836674466336459,1750884231.8520386,continuous,91338.50626849139,237735.82549577107,5.415820252038149,56566.0609729655,3.2989041131944514
0.9849345067891582,0.9999964212904778,0.9837008727591192,1750884232.8170717,continuous,50961.14462548327,734258.4155375361,5.67484371985381,29888.780817194976,3.2823260369612353
0.9849462487156471,0.9999964297792703,0.9837167306317548,1750884233.877251,continuous,63954.403085615006,803479.6553917397,6.466659180627872,21936.599221728204,3.2744494433379057
0.9849523908359027,0.9999964342142659,0.9837250245774737,1750884234.7033668,continuous,40286.64350922768,230769.5770787864,5.170214423804075,44872.58603379482,3.270326841536479
0.9849646758024911,0.9999964430735934,0.983741610980331,1750884235.8114734,continuous,14698.982521583504,160260.15609079128,5.3639422674968396,5466.1224913789665,3.2620761765906567
0.9849812177696108,0.9999964549793173,0.9837639397180115,1750884236.7289772,continuous,11671.681222653322,47105.98009389623,7.7519744523612095,2808.382500746074,3.2509559880548986
0.9849958535721474,0.9999964654906112,0.9837836904856891,1750884237.8204129,continuous,4747.255351652497,53729.128441121335,6.0589724090866905,2925.664900203866,3.241107140354176
0.9849949250271137,0.9999964648243664,0.9837824375689869,1750884238.7402427,continuous,7566.428801204889,360470.0088379313,4.96991134674635,14724.113101874922,3.241732265721614
0.9849912288181955,0.9999964621714396,0.9837774499644905,1750884239.7185001,continuous,127513.39632025475,381664.4854051336,6.110206854220675,46145.71361220029,3.2442202908309863
0.9850079204114321,0.999996474141022,0.983799970958761,1750884240.7502801,continuous,15898.301828180516,466892.4357710511,6.484359563440516,29834.529764028142,3.232979902909629
0.985022835780116,0.9999964848136598,0.9838200902399474,1750884241.7800646,continuous,12582.33642174961,399259.3129120314,5.489500460716942,73034.42461653515,3.222925221620493
0.9850982826088157,0.9999965384645845,0.9839217854438943,1750884242.7154288,continuous,175889.7374351307,462327.6622726029,5.222782206146792,54626.24143297847,3.171913767100579
0.9847456518438005,0.9999962828752825,0.9834454063041961,1750884243.856192,continuous,95466.63596801859,374451.89368129574,4.133305624869859,116386.54692778598,3.408187950556003
0.9814008904831147,0.9999931933384616,0.978800166184532,1750884244.744543,continuous,197017.5669663253,189310.59786016232,4.664871732320321,128836.81866159127,5.414620097558104
0.9802215452958938,0.9999917851285614,0.9771118488365933,1750884245.819676,continuous,308317.07615532854,596021.7784067474,3.5694577962896563,92392.18578699745,6.038305133071977
0.9791480990011132,0.9999903419908336,0.9755541984972658,1750884246.7535126,continuous,5889.665663150579,235370.6420280034,6.210517191763989,23486.418226230104,6.575084011518776
0.9798257195092441,0.9999912714145471,0.9765397443673458,1750884247.7379186,continuous,73391.9087706555,534474.5845851538,4.611016665834121,92185.96584119131,6.239486623409406
0.9800926623821206,0.9999916201838005,0.9769258636421385,1750884248.775167,continuous,97293.01002395667,734778.3459738549,4.8815138706559065,63726.152193109054,6.104240613007666
0.980426790980802,0.9999920432239352,0.9774074365442407,1750884249.8060749,continuous,244476.73464555954,1420844.8590262756,4.313850829952919,78671.75753363634,5.932428977237874
0.9806134518896985,0.9999922731129044,0.9776756214000013,1750884250.8061912,continuous,363333.67658648605,2270327.324018844,4.619622291119223,138769.36931324017,5.835190766300989
0.9803469842662562,0.999991943532583,0.977292588606638,1750884251.8636959,continuous,352327.89841354673,2386993.251229196,4.427563756752997,90803.72348409717,5.973726032966345
0.9803917763618294,0.9999919995889498,0.9773570614942758,1750884252.8329725,continuous,319103.9155430184,2079903.4569956607,3.731779302343199,149343.63876863988,5.950568041010718
0.9803665305815249,0.9999919680271057,0.9773207274914296,1750884253.846054,continuous,246002.86256851067,3092943.246617659,4.116225525050222,138282.32118428458,5.963626746556268
0.9804089495141689,0.9999920210102867,0.9773817709415099,1750884255.5512998,continuous,620079.072475181,876792.690659675,4.048793919141527,157422.78216475708,5.941675586796286
0.9803674517350841,0.9999919691802013,0.9773220534206246,1750884255.9722602,continuous,106928.78929602267,394143.2435231103,4.142699352819411,27116.58856708286,5.96315055732152
0.9801128038290778,0.9999916461079875,0.9769549477247166,1750884256.7973545,continuous,30171.032516804324,1199727.511087472,4.436159724852603,106212.866739045,6.0939640294367345
0.9798344797071015,0.9999912830138531,0.9765524348284297,1750884257.7332394,continuous,95839.16582850108,426715.06098206807,3.288152787784826,34233.87242707268,6.235076177779155
