feature,spearman_corr,p_value
theta_fz,-0.049907760030085235,0.5610294755026701
alpha_po,0.005294665607290711,0.9508551644211323
faa,-0.010066485839820933,0.9067160195045979
beta_frontal,0.03978647816845534,0.6431367985639709
eda_norm,0.14293770605624623,0.09443290567908864
