variable,mean,std,min,max
mi,0.7894525154584576,0.051867342364063686,0.1721922675026123,0.8505989123228352
theta_fz,267894.04458947544,1796190.3510504537,1.664407550898352,30684278.208456248
alpha_po,3236167.5804421226,21045210.999055527,3.540291453083801,326573143.2656009
faa,-8.168033150234994,3.297192594870679,-14.352110738135016,2.805055882340386
beta_frontal,81049.82778991756,250589.4825810839,7.907118098697387,3075322.3975347737
eda_norm,8.62246773679508,1.5337450170387152,5.455092803955078,10.0
