feature,spearman_corr,p_value
theta_fz,0.03573570020037277,0.5493742595196731
alpha_po,-0.006392881185699802,0.9147334377113878
faa,0.0059256388447018245,0.9209442663829195
beta_frontal,0.015226276332680257,0.7987024702989363
eda_norm,-0.018327018281750686,0.7588666695826328
