feature,spearman_corr,p_value
theta_fz,-0.09238988399484421,0.26080884047628766
alpha_po,0.05328414596204276,0.5172463705728461
faa,0.07678030134672652,0.3503680145353759
beta_frontal,-0.11645495355349127,0.15584710017325631
eda_norm,-0.06983900141791326,0.3957523475475567
