theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm
28552.410193797157,17379.607429701366,238466.34841150243,355475.94010879326,0.39922936436790124,856983.6744011571,490339.98095035536,345121.2404461141,2.0048852462768556
13867.105788156958,9069.971742822874,499901.003117842,748321.4568223612,0.4034225557117761,1609275.3539630263,928355.7830891216,680309.4277502743,2.0024467563629154
15919.705018186232,40620.16099948064,326431.4412605875,561407.5324824853,0.5422271353137695,1842210.7294493369,1060242.782119832,712523.039564983,2.0006259527206423
46426.39152430474,45907.928337914636,381279.0503471243,542961.0503855193,0.35350606429723896,1149435.0941310776,661341.5968943011,481509.599919784,1.9992344055175781
98512.76722306797,22700.68756220553,44695.61442030009,52009.88009873595,0.15155831702848666,66419.37516798778,38451.35424758489,28523.663654643125,1.9970040321350098
17868.88458020994,19179.028697256002,98031.37034271512,181533.13764172702,0.6161506805925967,766943.6112374061,447426.3894891195,288813.6077393666,1.9952668313980104
10500.847287502691,5394.290483977983,81160.98811840713,127033.95589760851,0.44801973016735097,329322.9612736996,188280.84087725938,133116.36047873367,1.9939952316284182
44931.22749056188,14535.331872309382,233830.29328167328,320434.4275220583,0.31508205125728317,527765.8185763593,292671.0585230735,232545.3240626096,1.9930128316879272
18017.133868448145,9299.853992692733,95486.92789450621,158377.07179254445,0.5059893626868561,558696.2592424694,320567.98580162297,212515.0254874396,1.9945276193618775
39749.84851109879,11694.818805221079,73864.90837610388,123803.08695890561,0.5164544326381613,502328.45649476047,295796.76353210886,186391.41033186877,1.9974872236251833
70205.50605462636,34997.50248041333,158916.1092436628,214957.377747986,0.3020633172794511,359477.47981075756,196921.68401969163,154832.58338416874,1.9953520307540895
17286.24863452656,4779.057634803669,186667.10020811312,294667.08268174477,0.45651936818254235,705369.4679224932,398672.3604720775,288785.02915168006,1.9939336404800414
23001.088172794283,37001.449286699964,585486.3840999844,976599.681396985,0.511633897789725,2744010.9112922843,1580634.0533296186,1097298.5827236488,1.9925636205673214
55095.33523007068,21771.48593063593,69008.00329224243,103004.06845383055,0.40054599938764035,423262.67887238745,249099.32430556623,153179.59047648756,1.9908048124313353
4068.6795169924003,4916.159462794674,182549.7255694521,306714.44287635846,0.5188945564454137,863452.6100795404,500485.79995212075,351039.59762526903,1.9892127990722657
21.692312527021457,20.01632930535772,22.910892739108377,27.510763834078727,0.18296487723562427,29.19869777924252,29.403563742911203,15.130167378899982,1.9879403648376464
6.287449845953866,33.49715324288174,30.059426249917728,38.85648093270071,0.25669858488648245,49.24273185374829,38.85815620031512,43.859385112981045,1.9866347780227662
22950.598526740952,15296.042744499793,312846.54504788015,514840.56129757187,0.49814446411217617,1272579.0228530276,723388.7943308346,520733.34458512807,1.985300811767578
40763.16125575058,34810.65471577314,252142.70820140457,428935.43095238035,0.531311167390367,1239657.40900224,716078.7451223459,493250.45292960794,1.9839740266799928
21148.250984177805,16344.859554883182,57858.258472691945,91829.11673534899,0.46193322299372674,276566.1482853527,162524.27606792754,106931.8983742315,1.9829396333694458
