theta_fz,alpha_po,faa,beta_frontal,eda_norm
13.414236885805924,13.414236885805924,13.414236885805924,13.414236885805924,317025.0063
15.35809630403916,15.35809630403916,15.35809630403916,15.35809630403916,317025.5063
16.198729297767084,16.198729297767084,16.198729297767084,16.198729297767084,317026.00650000013
15.906471313287811,15.906471313287811,15.906471313287811,15.906471313287811,317026.5063
14.49053726842006,14.49053726842006,14.49053726842006,14.49053726842006,317027.0063
12.170746269325416,12.170746269325416,12.170746269325416,12.170746269325416,317027.5063
9.313612203424176,9.313612203424176,9.313612203424176,9.313612203424176,317028.0060999999
6.676955402207871,6.676955402207871,6.676955402207871,6.676955402207871,317028.5063
5.0907570123672485,5.0907570123672485,5.0907570123672485,5.0907570123672485,317029.0063
5.246441210930546,5.246441210930546,5.246441210930546,5.246441210930546,317029.5063
7.233428021272023,7.233428021272023,7.233428021272023,7.233428021272023,317030.00650000013
10.266904375205437,10.266904375205437,10.266904375205437,10.266904375205437,317030.5063
13.1535752043128,13.1535752043128,13.1535752043128,13.1535752043128,317031.0063
14.741394902269043,14.741394902269043,14.741394902269043,14.741394902269043,317031.5063
14.346944513420263,14.346944513420263,14.346944513420263,14.346944513420263,317032.0063
11.956653974950314,11.956653974950314,11.956653974950314,11.956653974950314,317032.5066999998
8.338505567361912,8.338505567361912,8.338505567361912,8.338505567361912,317033.0063
4.525364267329375,4.525364267329375,4.525364267329375,4.525364267329375,317033.5063
1.474115329484145,1.474115329484145,1.474115329484145,1.474115329484145,317034.0063
-0.2732845246791839,-0.2732845246791839,-0.2732845246791839,-0.2732845246791839,317034.5063
-0.7440517383317152,-0.7440517383317152,-0.7440517383317152,-0.7440517383317152,317035.0063
-0.1486421568940083,-0.1486421568940083,-0.1486421568940083,-0.1486421568940083,317035.50650000013
1.0379213479657967,1.0379213479657967,1.0379213479657967,1.0379213479657967,317036.00650000013
2.3023297439018884,2.3023297439018884,2.3023297439018884,2.3023297439018884,317036.5063
3.218546157081922,3.218546157081922,3.218546157081922,3.218546157081922,317037.00650000013
3.644055678198735,3.644055678198735,3.644055678198735,3.644055678198735,317037.5060999999
3.669019078214963,3.669019078214963,3.669019078214963,3.669019078214963,317038.0063
3.527390571931998,3.527390571931998,3.527390571931998,3.527390571931998,317038.50650000013
3.4780896877249083,3.4780896877249083,3.4780896877249083,3.4780896877249083,317039.00650000013
3.7793476544320574,3.7793476544320574,3.7793476544320574,3.7793476544320574,317039.5059000002
4.595656594261527,4.595656594261527,4.595656594261527,4.595656594261527,317040.0063
5.962399166077375,5.962399166077375,5.962399166077375,5.962399166077375,317040.5063
7.951748197277388,7.951748197277388,7.951748197277388,7.951748197277388,317041.00650000013
10.335133619606497,10.335133619606497,10.335133619606497,10.335133619606497,317041.50650000013
12.943039797246456,12.943039797246456,12.943039797246456,12.943039797246456,317042.0060999999
15.32715760419766,15.32715760419766,15.32715760419766,15.32715760419766,317042.5063
17.139942473421495,17.139942473421495,17.139942473421495,17.139942473421495,317043.00650000013
18.00896357248227,18.00896357248227,18.00896357248227,18.00896357248227,317043.5063
17.799810238182545,17.799810238182545,17.799810238182545,17.799810238182545,317044.0060999999
16.353163468341034,16.353163468341034,16.353163468341034,16.353163468341034,317044.50650000013
13.70325269550085,13.70325269550085,13.70325269550085,13.70325269550085,317045.0060999999
9.894477906326452,9.894477906326452,9.894477906326452,9.894477906326452,317045.5063
5.131839336206515,5.131839336206515,5.131839336206515,5.131839336206515,317046.00650000013
-0.386832912142078,-0.386832912142078,-0.386832912142078,-0.386832912142078,317046.5063
-6.242661294837792,-6.242661294837792,-6.242661294837792,-6.242661294837792,317047.0063
-11.891905682782332,-11.891905682782332,-11.891905682782332,-11.891905682782332,317047.5063
-16.586692113429308,-16.586692113429308,-16.586692113429308,-16.586692113429308,317048.0063
-19.61496156391998,-19.61496156391998,-19.61496156391998,-19.61496156391998,317048.5060999999
-20.47039844592412,-20.47039844592412,-20.47039844592412,-20.47039844592412,317049.00650000013
-18.96544871603449,-18.96544871603449,-18.96544871603449,-18.96544871603449,317049.5063
-15.291666446874538,-15.291666446874538,-15.291666446874538,-15.291666446874538,317050.00650000013
