Adaptive MI,Universal MI,EMI,ATT,mi
1.0,0.8999999619643367,1.0,1.0,0.8509999677172309
1.0,0.8999999655509062,1.0,1.0,0.8509999707613316
1.0,0.8999999563907584,1.0,1.0,0.8509999629866563
1.0,0.8999999601086426,1.0,1.0,0.8509999661422105
1.0,0.8999999657691697,1.0,1.0,0.8509999709465828
1.0,0.8999999679894345,1.0,1.0,0.8509999728310327
1.0,0.8999999384084302,1.0,1.0,0.8509999477241552
1.0,0.8999999779819221,1.0,1.0,0.8509999813121565
1.0,0.8999999594653205,1.0,1.0,0.8509999655961908
1.0,0.8999999622252572,1.0,1.0,0.850999967938687
1.0,0.8999999754376852,1.0,1.0,0.8509999791527354
1.0,0.8999999592086357,1.0,1.0,0.8509999653783296
1.0,0.8999999643067407,0.0,1.0,0.8509999697053461
1.0,0.8999999469465395,1.0,1.0,0.8509999549708755
1.0,0.8999999650848225,1.0,1.0,0.8509999703657432
1.0,0.8999999760104815,1.0,1.0,0.8509999796388963
1.0,0.8999999598429317,1.0,1.0,0.8509999659166883
1.0,0.8999999461467453,1.0,1.0,0.8509999542920501
1.0,0.8999999662639508,1.0,1.0,0.8509999713665284
1.0,0.8999999677771382,1.0,1.0,0.8509999726508461
1.0,0.899999935996559,1.0,1.0,0.8509999456770796
1.0,0.8999999709731608,1.0,1.0,0.8509999753634703
1.0,0.8999999711953498,0.0,1.0,0.8509999755520532
1.0,0.8999999707165588,1.0,1.0,0.8509999751456794
1.0,0.8999999649896194,1.0,1.0,0.8509999702849396
1.0,0.8999999699484927,1.0,1.0,0.8509999744937833
1.0,0.8999999618578631,1.0,1.0,0.8509999676268614
1.0,0.8999999577574397,1.0,1.0,0.850999964146627
1.0,0.8999999631616322,1.0,1.0,0.8509999687334353
1.0,0.8999999741913637,1.0,1.0,0.85099997809492
1.0,0.8999999654130046,1.0,1.0,0.8509999706442877
1.0,0.8999999660883617,1.0,1.0,0.8509999712174969
1.0,0.899999952774298,1.0,1.0,0.8509999599171854
1.0,0.8999999717776873,1.0,1.0,0.8509999760463121
1.0,0.8999999637403658,1.0,1.0,0.8509999692246355
1.0,0.8999999644695562,1.0,1.0,0.8509999698435358
1.0,0.8999999549041356,1.0,1.0,0.8509999617248851
1.0,0.8999999722725768,1.0,1.0,0.8509999764663496
1.0,0.8999999669427007,1.0,1.0,0.8509999719426173
1.0,0.8999999621760705,1.0,1.0,0.8509999678969398
1.0,0.899999965282642,1.0,1.0,0.8509999705336424
1.0,0.8999999664214565,1.0,1.0,0.8509999715002112
1.0,0.8999999795393574,1.0,1.0,0.8509999826340295
1.0,0.8999999579962829,1.0,1.0,0.8509999643493451
1.0,0.8999999707884536,1.0,1.0,0.8509999752066999
1.0,0.8999999712406084,1.0,1.0,0.8509999755904663
1.0,0.8999999651683642,1.0,1.0,0.8509999704366491
1.0,0.8999999459735485,1.0,1.0,0.8509999541450493
1.0,0.8999999520759158,1.0,1.0,0.8509999593244335
1.0,0.8999999734613185,1.0,1.0,0.8509999774752941
1.0,0.8999999784966487,1.0,1.0,0.8509999817490306
1.0,0.899999980256172,1.0,1.0,0.850999983242426
1.0,0.8999999758893594,1.0,1.0,0.8509999795360939
1.0,0.8999999740857747,1.0,1.0,0.8509999780053012
1.0,0.8999999716240781,1.0,1.0,0.8509999759159363
1.0,0.8999999695421778,1.0,1.0,0.8509999741489234
1.0,0.8999999679476453,1.0,1.0,0.8509999727955639
1.0,0.8999999694945434,1.0,1.0,0.8509999741084937
1.0,0.8999999658369838,1.0,1.0,0.85099997100414
1.0,0.8999999671711062,1.0,1.0,0.8509999721364765
1.0,0.8999999680902818,1.0,1.0,0.8509999729166267
1.0,0.899999973266503,1.0,1.0,0.8509999773099446
1.0,0.8999999694296542,1.0,1.0,0.8509999740534191
1.0,0.8999999691083634,1.0,1.0,0.8509999737807235
1.0,0.8999999730644407,1.0,1.0,0.850999977138444
1.0,0.8999999622064391,1.0,1.0,0.8509999679227152
1.0,0.8999999682743942,0.0,1.0,0.8509999730728921
1.0,0.8999999646479531,1.0,1.0,0.8509999699949502
1.0,0.8999999695412039,1.0,1.0,0.8509999741480969
1.0,0.899999959235189,0.0,1.0,0.8509999654008666
1.0,0.8999999503975098,1.0,1.0,0.8509999578998866
1.0,0.8999999679547592,1.0,1.0,0.850999972801602
1.0,0.8999999756768258,1.0,1.0,0.8509999793557059
1.0,0.8999999683221752,1.0,1.0,0.8509999731134463
1.0,0.899999964401218,1.0,1.0,0.8509999697855337
1.0,0.8999999557305737,1.0,1.0,0.8509999624263245
1.0,0.8999999574688772,1.0,1.0,0.8509999639017096
1.0,0.8999999638487388,1.0,1.0,0.850999969316617
1.0,0.8999999656303607,1.0,1.0,0.8509999708287688
1.0,0.8999999589441021,1.0,1.0,0.8509999651538067
1.0,0.8999999592473159,1.0,1.0,0.8509999654111595
1.0,0.8999999708940907,1.0,1.0,0.8509999752963595
1.0,0.8999999757297941,1.0,1.0,0.8509999794006629
1.0,0.8999999601091169,1.0,1.0,0.8509999661426131
1.0,0.8999999688818422,1.0,1.0,0.8509999735884637
1.0,0.8999999734118797,1.0,1.0,0.850999977433333
1.0,0.8999999727552578,1.0,1.0,0.850999976876025
1.0,0.8999999782324646,1.0,1.0,0.8509999815248044
1.0,0.8999999589893702,1.0,1.0,0.850999965192228
1.0,0.8999999751332388,1.0,1.0,0.8509999788943365
1.0,0.8999999668378919,1.0,1.0,0.8509999718536607
1.0,0.8999999610781753,1.0,1.0,0.8509999669651012
1.0,0.8999999642532667,1.0,1.0,0.8509999696599602
1.0,0.8999999622154828,1.0,1.0,0.850999967930391
1.0,0.8999999716003312,1.0,1.0,0.8509999758957811
1.0,0.8999999624108179,1.0,1.0,0.8509999680961817
1.0,0.8999999662521478,1.0,1.0,0.8509999713565106
1.0,0.8999999485992037,1.0,1.0,0.8509999563735742
1.0,0.8999999762269477,1.0,1.0,0.8509999798226218
1.0,0.8999999763752472,1.0,1.0,0.8509999799484911
1.0,0.8999999692716926,1.0,1.0,0.850999973919349
1.0,0.8999999661947146,1.0,1.0,0.8509999713077641
1.0,0.8999999796498852,1.0,1.0,0.85099998272784
1.0,0.8999999721542117,1.0,1.0,0.8509999763658871
1.0,0.8999999666765822,1.0,1.0,0.8509999717167491
1.0,0.8999999520068045,1.0,1.0,0.8509999592657753
1.0,0.8999999717731881,1.0,1.0,0.8509999760424933
1.0,0.8999999707485976,1.0,1.0,0.8509999751728723
1.0,0.8999999651648728,1.0,1.0,0.8509999704336857
1.0,0.8999999677938703,1.0,1.0,0.8509999726650475
1.0,0.8999999642463115,1.0,1.0,0.8509999696540569
1.0,0.8999999706054455,1.0,1.0,0.8509999750513719
1.0,0.8999999652982159,1.0,1.0,0.8509999705468607
1.0,0.8999999794332869,1.0,1.0,0.8509999825440022
1.0,0.8999999682980139,1.0,1.0,0.8509999730929394
1.0,0.899999968529206,1.0,1.0,0.8509999732891635
1.0,0.8999999783624012,1.0,1.0,0.8509999816350879
1.0,0.8999999701240442,1.0,1.0,0.8509999746427825
1.0,0.8999999690587485,1.0,1.0,0.8509999737386129
1.0,0.8999999652678917,1.0,1.0,0.8509999705211231
1.0,0.8999999686581702,0.0,1.0,0.850999973398622
1.0,0.8999999691877801,1.0,1.0,0.8509999738481284
1.0,0.8999999605000285,1.0,1.0,0.8509999664743992
1.0,0.8999999592080156,1.0,1.0,0.8509999653778033
1.0,0.8999999756591308,1.0,1.0,0.8509999793406873
1.0,0.899999963836048,1.0,1.0,0.8509999693058459
1.0,0.8999999710255775,1.0,1.0,0.8509999754079589
1.0,0.8999999645652892,1.0,1.0,0.8509999699247892
1.0,0.8999999586027565,1.0,1.0,0.8509999648640896
1.0,0.8999999682886483,1.0,1.0,0.8509999730849902
1.0,0.899999962770621,1.0,1.0,0.8509999684015646
1.0,0.8999999753895537,1.0,1.0,0.8509999791118836
1.0,0.8999999794815476,1.0,1.0,0.8509999825849637
1.0,0.8999999679485425,1.0,1.0,0.8509999727963256
0.7404869425702342,0.8201328025191549,1.0,1.0,0.7832127161381328
0.4071536092369009,0.2329078341534397,0.3756091910574453,1.0,0.2848055242377319
0.0738202759035675,0.1173811496704989,0.2495960215427315,0.5291715931341987,0.18675225078283592
0.0,0.7189048800334581,0.7113121980890842,1.0,0.6972955169283976
0.0,0.3595474928987392,0.4113162547224017,1.0,0.39229093459780495
0.0,0.2127204646294703,0.4378412202804554,1.0,0.2676714943542629
0.3333333333333333,0.8999160037345234,1.0,1.0,0.8509287081696768
0.6666666666666666,0.8999999682875546,1.0,1.0,0.8509999730840618
1.0,0.8999999762234231,1.0,1.0,0.8509999798196304
1.0,0.899999966941311,1.0,1.0,0.8509999719414376
1.0,0.8999999756975176,1.0,1.0,0.8509999793732681
1.0,0.8999999788874699,1.0,1.0,0.8509999820807401
1.0,0.8999999727593178,1.0,1.0,0.8509999768794709
1.0,0.8999999731133678,1.0,1.0,0.850999977179971
1.0,0.8999999755481053,1.0,1.0,0.8509999792464544
1.0,0.8999999623371213,1.0,1.0,0.8509999680336318
1.0,0.8999999646690705,1.0,1.0,0.8509999700128736
1.0,0.8999999685383362,1.0,1.0,0.8509999732969129
1.0,0.8999999534847357,0.0,1.0,0.8509999605201695
1.0,0.8999999731521637,1.0,1.0,0.8509999772128989
1.0,0.8999999776549331,1.0,1.0,0.8509999810346245
1.0,0.8999999583693631,1.0,1.0,0.8509999646659969
1.0,0.8999999722412791,1.0,1.0,0.8509999764397858
1.0,0.8999999829138586,0.0,1.0,0.8509999854981376
1.0,0.8999999705467531,1.0,1.0,0.8509999750015567
1.0,0.8999999751125215,1.0,1.0,0.8509999788767526
1.0,0.8999999700125035,1.0,1.0,0.8509999745481125
1.0,0.8999999696934248,1.0,1.0,0.8509999742772942
1.0,0.8999999701611322,1.0,1.0,0.8509999746742609
1.0,0.8999999628898254,1.0,1.0,0.8509999685027394
1.0,0.8999999770627649,1.0,1.0,0.8509999805320216
1.0,0.8999999728107888,1.0,1.0,0.8509999769231571
1.0,0.8999999692477618,1.0,1.0,0.8509999738990379
1.0,0.8999999774393342,1.0,1.0,0.8509999808516349
1.0,0.8999999655938374,1.0,1.0,0.8509999707977696
1.0,0.899999963524753,0.0,1.0,0.8509999690416341
1.0,0.8999999585157207,1.0,1.0,0.850999964790218
1.0,0.8999999766776208,1.0,1.0,0.8509999802051307
1.0,0.899999976064986,1.0,1.0,0.8509999796851568
1.0,0.8999999698360177,1.0,1.0,0.8509999743983201
1.0,0.899999971581807,1.0,1.0,0.8509999758800586
1.0,0.8999999753746848,1.0,1.0,0.8509999790992637
1.0,0.8999999607383155,1.0,1.0,0.8509999666766452
1.0,0.8999999711203636,1.0,1.0,0.8509999754884086
1.0,0.8999999733552466,0.0,1.0,0.8509999773852657
1.0,0.8999999743229791,1.0,1.0,0.8509999782066284
1.0,0.899999962414378,1.0,1.0,0.8509999680992033
1.0,0.8999999612855082,1.0,1.0,0.8509999671410751
1.0,0.8999999811295543,1.0,1.0,0.8509999839837092
1.0,0.8999999814444327,1.0,1.0,0.8509999842509623
1.0,0.8999999713762844,1.0,1.0,0.8509999757056215
1.0,0.8999999746174534,1.0,1.0,0.8509999784565636
1.0,0.8999999701145996,1.0,1.0,0.8509999746347665
1.0,0.8999999562186513,1.0,1.0,0.8509999628405802
1.0,0.8999999646153152,1.0,1.0,0.8509999699672488
1.0,0.8999999686438926,1.0,1.0,0.8509999733865039
1.0,0.8999999674084775,1.0,1.0,0.8509999723379453
1.0,0.899999968550475,1.0,1.0,0.8509999733072158
1.0,0.8999999714635624,1.0,1.0,0.8509999757796987
1.0,0.8999999751975486,1.0,1.0,0.8509999789489193
1.0,0.8999999719406934,1.0,1.0,0.8509999761846636
1.0,0.8999999708363821,1.0,1.0,0.8509999752473794
1.0,0.899999969387533,1.0,1.0,0.8509999740176688
1.0,0.8999999711899846,1.0,1.0,0.8509999755474995
1.0,0.8999999356843448,1.0,1.0,0.8509999454120878
1.0,0.8999999675290927,1.0,1.0,0.8509999724403174
1.0,0.8999999772026492,1.0,1.0,0.8509999806507487
1.0,0.8999999701077116,1.0,1.0,0.8509999746289203
1.0,0.8999999670617922,1.0,1.0,0.8509999720436963
1.0,0.8999999762472121,1.0,1.0,0.8509999798398213
1.0,0.8999999757182661,1.0,1.0,0.8509999793908782
1.0,0.8999999815896768,1.0,1.0,0.8509999843742382
1.0,0.8999999687784813,1.0,1.0,0.8509999735007361
1.0,0.8999999654302495,1.0,1.0,0.8509999706589242
1.0,0.8999999766428911,1.0,1.0,0.8509999801756538
1.0,0.8999999744411624,1.0,1.0,0.8509999783069366
1.0,0.8999999772508124,1.0,1.0,0.8509999806916271
1.0,0.8999999729414875,1.0,1.0,0.8509999770340875
1.0,0.8999999762527979,1.0,1.0,0.8509999798445622
1.0,0.8999999776414919,1.0,1.0,0.8509999810232163
1.0,0.8999999742759343,1.0,1.0,0.8509999781666993
1.0,0.8999999801052784,0.0,1.0,0.8509999831143551
1.0,0.8999999670474463,0.0,1.0,0.85099997203152
1.0,0.8999999537727771,1.0,1.0,0.8509999607646446
1.0,0.8999999750188011,0.0,1.0,0.8509999787972076
1.0,0.8999999715757941,0.0,1.0,0.8509999758749554
1.0,0.8999999727935251,0.0,1.0,0.8509999769085044
1.0,0.8999999642557219,1.0,1.0,0.850999969662044
1.0,0.8999999827727653,1.0,1.0,0.8509999853783845
1.0,0.8999999632018709,1.0,1.0,0.850999968767588
1.0,0.8999999742664012,1.0,1.0,0.850999978158608
1.0,0.8999999810157259,1.0,1.0,0.8509999838870974
1.0,0.8999999726804888,1.0,1.0,0.8509999768125649
1.0,0.899999977104642,1.0,1.0,0.850999980567565
1.0,0.8999999742364995,1.0,1.0,0.8509999781332289
1.0,0.8999999696111904,1.0,1.0,0.8509999742074978
1.0,0.8999999580970962,1.0,1.0,0.8509999644349104
1.0,0.8999999675863307,1.0,1.0,0.8509999724888984
1.0,0.8999999710758525,1.0,1.0,0.8509999754506299
1.0,0.8999999786668894,1.0,1.0,0.8509999818935226
1.0,0.8999999682084984,1.0,1.0,0.8509999730169631
1.0,0.8999999766124892,1.0,1.0,0.8509999801498502
1.0,0.8999999801301807,1.0,1.0,0.8509999831354909
1.0,0.8999999727278812,1.0,1.0,0.8509999768527892
1.0,0.8999999683669261,1.0,1.0,0.8509999731514286
1.0,0.8999999710462083,1.0,1.0,0.8509999754254693
1.0,0.8999999512421172,1.0,1.0,0.8509999586167469
1.0,0.8999999838072098,1.0,1.0,0.8509999862563693
1.0,0.8999999710138795,1.0,1.0,0.8509999753980302
1.0,0.8999999658774387,1.0,1.0,0.8509999710384761
1.0,0.8999999831926285,1.0,1.0,0.8509999857347434
1.0,0.8999999702903827,1.0,1.0,0.8509999747839623
1.0,0.8999999831851556,1.0,1.0,0.850999985728401
1.0,0.8999999757924956,1.0,1.0,0.8509999794538807
1.0,0.8999999713641257,1.0,1.0,0.8509999756953017
1.0,0.8999999770083211,1.0,1.0,0.8509999804858126
1.0,0.8999999609720267,0.0,1.0,0.8509999668750077
0.6666666666666666,0.1583507921218468,0.2641504692072947,0.4078038390557445,0.22152523481341746
0.6666666666666666,0.8999999471231017,1.0,1.0,0.8509999551207326
0.6666666666666666,0.8941217743975598,0.8041435938608128,1.0,0.8460108560199289
1.0,0.8999999683360541,1.0,1.0,0.850999973125226
1.0,0.8999999737230583,1.0,1.0,0.8509999776974457
1.0,0.8999999795462676,1.0,1.0,0.8509999826398946
1.0,0.8999999785950419,0.0,1.0,0.8509999818325418
1.0,0.8999999671896155,1.0,1.0,0.8509999721521861
1.0,0.8999999662316359,1.0,1.0,0.850999971339101
1.0,0.8999999703477254,1.0,1.0,0.850999974832632
1.0,0.8999999815390688,1.0,1.0,0.8509999843312848
1.0,0.89999997425573,1.0,1.0,0.850999978149551
1.0,0.8999999587810672,1.0,1.0,0.8509999650154307
1.0,0.8999999767297757,1.0,1.0,0.850999980249397
1.0,0.8999999716356498,1.0,1.0,0.8509999759257578
1.0,0.8999999659741631,1.0,1.0,0.8509999711205709
1.0,0.8999999657106013,1.0,1.0,0.8509999708968727
1.0,0.8999999723662581,1.0,1.0,0.8509999765458616
1.0,0.8999999737679707,1.0,1.0,0.850999977735565
1.0,0.8999999666281431,1.0,1.0,0.8509999716756365
1.0,0.8999999710659529,0.5087220705949282,1.0,0.8509999754422275
1.0,0.8999999714819686,1.0,1.0,0.8509999757953208
1.0,0.8999999788750828,1.0,1.0,0.8509999820702265
1.0,0.8999999834276402,1.0,1.0,0.8509999859342097
1.0,0.8999999746224181,1.0,1.0,0.8509999784607774
1.0,0.8999999556492696,1.0,1.0,0.8509999623573177
1.0,0.8999999776584832,1.0,1.0,0.8509999810376376
1.0,0.8999999752902713,1.0,1.0,0.8509999790276179
1.0,0.8999999713154602,0.0,1.0,0.8509999756539968
1.0,0.8999999707471747,1.0,1.0,0.8509999751716646
1.0,0.8999999777932479,1.0,1.0,0.8509999811520192
1.0,0.8999999757873633,1.0,1.0,0.8509999794495247
1.0,0.8999999689852898,1.0,1.0,0.8509999736762648
1.0,0.8999999704055437,1.0,1.0,0.8509999748817052
1.0,0.8999999632779667,1.0,1.0,0.8509999688321743
1.0,0.8999999682276167,1.0,1.0,0.8509999730331896
1.0,0.8999999726674026,1.0,1.0,0.850999976801458
1.0,0.8999999707898306,1.0,1.0,0.8509999752078687
1.0,0.8999999751137705,1.0,1.0,0.8509999788778126
1.0,0.8999999735037552,1.0,1.0,0.8509999775113122
1.0,0.8999999712093926,1.0,1.0,0.8509999755639719
1.0,0.8999999688401011,1.0,1.0,0.8509999735530358
1.0,0.8999999720588501,1.0,1.0,0.850999976284949
1.0,0.8999999760537142,1.0,1.0,0.8509999796755898
1.0,0.8999999722004881,1.0,1.0,0.8509999764051643
1.0,0.8999999825079588,1.0,1.0,0.8509999851536301
1.0,0.8999999832928361,1.0,1.0,0.8509999858197947
1.0,0.8999999766141332,1.0,1.0,0.8509999801512456
1.0,0.8999999736673926,1.0,1.0,0.8509999776501995
1.0,0.899999978051251,1.0,1.0,0.8509999813709992
1.0,0.8999999735839836,1.0,1.0,0.8509999775794062
1.0,0.8999999759783363,1.0,1.0,0.850999979611613
1.0,0.8999999798516178,1.0,1.0,0.8509999828990606
1.0,0.8999999783035114,1.0,1.0,0.8509999815851053
1.0,0.899999968777674,1.0,1.0,0.8509999735000509
1.0,0.8999999634366112,1.0,1.0,0.8509999689668237
1.0,0.8999999735770514,1.0,1.0,0.8509999775735224
1.0,0.8999999794912487,1.0,1.0,0.8509999825931973
1.0,0.899999980355486,1.0,1.0,0.8509999833267188
1.0,0.8999999721543082,1.0,1.0,0.850999976365969
1.0,0.8999999746717847,1.0,1.0,0.8509999785026774
1.0,0.8999999755247894,1.0,1.0,0.8509999792266649
1.0,0.8999999740730382,1.0,1.0,0.8509999779944912
1.0,0.8999999787967745,1.0,1.0,0.8509999820037624
1.0,0.8999999605188265,1.0,1.0,0.850999966490354
1.0,0.8999999688882813,1.0,1.0,0.8509999735939289
1.0,0.8999999741729217,1.0,1.0,0.8509999780792672
1.0,0.899999977917094,1.0,1.0,0.8509999812571334
1.0,0.8999999765103696,1.0,1.0,0.8509999800631762
1.0,0.8999999790789094,1.0,1.0,0.8509999822432244
1.0,0.8999999838253506,1.0,1.0,0.8509999862717663
1.0,0.8999999732411139,1.0,1.0,0.8509999772883954
1.0,0.8999999712426335,1.0,1.0,0.8509999755921853
1.0,0.8999999756269892,1.0,1.0,0.8509999793134071
1.0,0.8999999606749226,1.0,1.0,0.8509999666228405
1.0,0.8999999756677743,1.0,1.0,0.8509999793480234
1.0,0.8999999758215503,0.0,1.0,0.850999979478541
1.0,0.8999999736473134,1.0,1.0,0.8509999776331574
1.0,0.8999999663791304,1.0,1.0,0.8509999714642869
1.0,0.8999999842639498,1.0,1.0,0.8509999866440274
1.0,0.8999999745477909,1.0,1.0,0.8509999783974376
1.0,0.8999999773544768,1.0,1.0,0.8509999807796123
1.0,0.8999999733173961,1.0,1.0,0.85099997735314
1.0,0.8999999820929963,1.0,1.0,0.8509999848014305
1.0,0.8999999719987813,1.0,1.0,0.8509999762339657
1.0,0.8999999718594459,1.0,1.0,0.8509999761157048
1.0,0.899999979485143,1.0,1.0,0.8509999825880152
1.0,0.8999999765039414,1.0,1.0,0.8509999800577204
1.0,0.8999999798802366,1.0,1.0,0.8509999829233508
1.0,0.8999999637860638,1.0,1.0,0.8509999692634216
1.0,0.8999999670517684,1.0,1.0,0.8509999720351884
1.0,0.8999999745779985,1.0,1.0,0.8509999784230762
1.0,0.8999999676734908,0.0,1.0,0.8509999725628754
1.0,0.8999999801769744,1.0,1.0,0.8509999831752071
1.0,0.8999999728822285,1.0,1.0,0.8509999769837915
1.0,0.8999999769885644,1.0,1.0,0.850999980469044
1.0,0.8999999557222538,1.0,1.0,0.8509999624192628
1.0,0.8999999695405314,1.0,1.0,0.850999974147526
1.0,0.8999999806471956,1.0,1.0,0.8509999835743072
