Adaptive MI,mi,EMI,ATT
1,0.8999999512180973,0,1
1,0.8999999495543488,1,1
1,0.899999945,1,1
1,0.8999999522604828,1,1
1,0.8999999485625142,0,1
1,0.8999999514570187,0,1
1,0.8999999503850004,0,1
1,0.8999998690458341,0.2910264789886368,1
1,0.8999999570734908,1,1
1,0.8999998413301901,0.7021385869881092,1
1,0.899999949,0,1
1,0.8999999485240424,1,1
1,0.899999946,1,1
1,0.8999999544935962,1,1
1,0.899999935,1,1
1,0.8999999543715286,1,1
1,0.8999999523336746,1,1
1,0.8999989388689019,1,1
1,0.8999999032288779,1,1
1,0.8999999465464565,1,1
1,0.8999914149540896,0,1
1,0.8999404970516208,0,1
1,0.8999999474083736,1,1
1,0.8999999547113195,0,1
1,0.8999999492326713,1,1
1,0.8999999469033967,1,1
1,0.8999999409203844,1,1
1,0.8999999474109804,0,1
1,0.8999999604237962,0,1
1,0.8999999500596372,1,1
1,0.899999957,1,1
1,0.8999999373013238,1,1
1,0.899999938,1,1
1,0.8999999493026387,0,1
1,0.8999999501691561,1,1
1,0.8999998818099878,0,1
1,0.899999943,1,1
1,0.8999999473284077,1,1
1,0.8999999412492211,0.5468938340300494,1
1,0.8999999521989562,1,1
1,0.899999947,1,1
1,0.8999999510109497,1,1
1,0.8999999535540741,1,1
1,0.8999999591052825,1,1
1,0.8999999277290363,1,1
1,0.8999999327263314,0.7899375186208146,1
1,0.8999999465542537,0,1
1,0.8999999527201642,1,1
1,0.8999999322921652,1,1
1,0.8999999310575905,0,1
1,0.8999999428308074,0,1
1,0.8999999486015539,1,1
1,0.8999997794270228,0,1
1,0.8999999397103383,1,1
1,0.899999948,1,1
1,0.8999999361317174,1,1
1,0.8999999465597766,0.39549090633015743,1
1,0.899999931,1,1
1,0.899999949,0,1
1,0.8999999371088464,1,1
1,0.8999999486138616,0,1
1,0.8999999283623629,1,1
1,0.899999934,1,1
1,0.8999999316965026,1,1
1,0.8999999427067387,0.056343602,1
1,0.8999924140617708,0,1
1,0.8999999371959712,1,1
1,0.8999999399882762,1,1
1,0.8999999476413384,0,1
1,0.8999999503867968,0.7801675105540813,1
1,0.89999994,1,1
1,0.8999999262668206,1,1
1,0.8999948373558305,0,1
1,0.8999998966054843,1,1
1,0.899999917,1,1
1,0.8999996951362255,1,1
1,0.8999999457064154,1,1
1,0.8999998876979228,0,1
1,0.8999913669371771,0.9092053686279578,1
1,0.8999994769571718,1,1
1,0.8999975956998698,1,1
1,0.8999999074229316,1,1
1,0.8999931835224598,1,1
1,0.8999966999458232,1,1
1,0.899999456,1,1
1,0.8999975309244257,1,1
1,0.8999998747281315,1,1
1,0.8999993965422335,0.37115872838732705,1
1,0.899997527,1,1
1,0.8999985024945499,1,1
1,0.8999987797804401,0.6798431276570772,1
1,0.8999956664252289,1,1
1,0.8999885531294506,1,1
1,0.8999990419283573,1,1
1,0.899999973,1,1
1,0.8999999350004692,1,1
1,0.8999913767496859,0.9448645948685075,1
1,0.8999998592833925,1,1
1,0.8999998151713559,0.7725313708375221,1
1,0.8999983125993329,1,1
1,0.8999983471977305,1,1
1,0.8999998669746304,1,1
1,0.8999987043114985,0.5866210017046612,1
1,0.8999929533945996,1,1
1,0.8999999058685695,1,1
1,0.8999999528143874,1,1
1,0.899999859,1,1
1,0.8999918102391905,1,1
1,0.8999996230063765,1,1
1,0.8999973021046926,1,1
1,0.8959845366343598,0.7977681978497062,1
1,0.8999997433459561,1,1
1,0.8999999532570718,0.3419665150941174,1
1,0.8999998969374109,1,1
1,0.8999998815603666,1,1
1,0.8999999238385836,1,1
1,0.899998943,0.8089801834715272,1
1,0.8999997781201603,1,1
1,0.8999988264610365,1,1
1,0.899996906,1,1
1,0.8999999102210627,1,1
1,0.899999952,1,1
1,0.8999999515600382,1,1
1,0.8999999517627646,0,1
1,0.8999999548480759,1,1
1,0.8999986597662778,0,1
1,0.8999999436015059,1,1
1,0.8999999535245534,1,1
1,0.8999998679947185,1,1
1,0.8999999596027384,0,1
1,0.8999999485127801,1,1
1,0.8999999257205614,1,1
1,0.8999999326863447,1,1
1,0.8999988626893997,0,1
1,0.899999941,0.3213430836166679,1
1,0.8999999561111601,0,1
1,0.8999999331017228,0,1
1,0.899999812,0,1
1,0.8999999491876273,0,1
1,0.8999999488231237,0,1
1,0.8999947391161296,0,1
1,0.8999980345532115,0,1
1,0.8999999514963583,0,1
1,0.8999999436540921,1,1
1,0.8999999454483734,1,1
1,0.8999999512680755,1,1
1,0.8999999009915041,0,1
1,0.8999999489832949,0,1
1,0.8999999404526241,1,1
1,0.8999999861933102,0.4788644697335001,1
1,0.8999999560125779,1,1
1,0.8999999081860209,1,1
1,0.8999999462951646,1,1
1,0.8999999433701166,1,1
1,0.8999999356011105,1,1
1,0.8999999443922168,1,1
1,0.8999999459498077,0,1
1,0.8999999545038161,0,1
1,0.8999999574541756,1,1
1,0.8999999625540399,1,1
1,0.8999999349782403,0,1
1,0.8999999457534548,1,1
1,0.899999945,0.1561347779828639,1
1,0.8999999466383318,0.6952164945866202,1
1,0.8999999378461245,1,1
1,0.8999999424451869,1,1
1,0.899999947,1,1
1,0.8999999344924282,1,1
1,0.8999999518852321,0,1
1,0.8999999419513374,0.11759618575944464,1
