Adaptive MI,mi,EMI,ATT
1,0.8999999471111806,1,1
1,0.8999999472487564,1,1
1,0.8999999508043243,0,1
1,0.8999999459517939,1,1
1,0.8999999402370706,1,1
1,0.8999999526423924,1,1
1,0.8999999485027694,1,1
1,0.8999999449747486,1,1
1,0.8999999499684338,1,1
1,0.8999999501988449,1,1
1,0.8999999445884034,1,1
1,0.899999949,1,1
1,0.8999999501298466,0,1
1,0.8999999473008028,1,1
1,0.8999999503452389,1,1
1,0.8997426681184948,0.8293105801735265,1
1,0.8998012562649359,0.6161536520497972,0.6287449845953865
1,0.8999999498682606,1,1
1,0.8999999507063848,1,1
1,0.8999999489774326,1,1
1,0.8999999557451576,1,1
1,0.8999999409911555,1,1
1,0.899999948,1,1
1,0.8999999512748003,1,1
1,0.8999999604719161,1,1
1,0.8999999493439387,1,1
1,0.8999999600461973,1,1
1,0.8999999684299759,1,1
1,0.8999999543167472,1,1
1,0.8999999562176128,1,1
1,0.8999999483653437,1,1
1,0.899999957,0,1
1,0.899999951,1,1
1,0.8999999592185696,1,1
1,0.8999999531319767,1,1
1,0.8999999506555911,1,1
1,0.8999999525283606,1,1
1,0.899999955,0,1
1,0.8999999510847235,0,1
1,0.8999999511505387,1,1
1,0.8999999497560179,1,1
1,0.8999999487874021,1,1
1,0.899999953,1,1
1,0.8999999485071384,1,1
1,0.8999999532049443,1,1
1,0.899999953,1,1
1,0.899999956,1,1
1,0.8999999562818901,1,1
1,0.8999999543932703,0,1
1,0.899999958,1,1
1,0.8999999601485487,1,1
1,0.899999956,1,1
1,0.8999999589708683,1,1
1,0.8999999599942876,1,1
1,0.8999999767824282,1,1
1,0.8999999816937962,1,1
1,0.8999999546062196,1,1
1,0.8999999632213398,1,1
1,0.899999962,1,1
1,0.8999999494308762,1,1
1,0.8999999544175368,1,1
1,0.8999999594609606,1,1
1,0.8999999558191693,1,1
1,0.8999999553708191,0,1
1,0.8999999502795984,1,1
1,0.8999999513131317,1,1
1,0.8999999641751378,1,1
1,0.8999999594921548,1,1
1,0.8999999618930872,1,1
1,0.8999999518350212,1,1
1,0.8999999528643204,1,1
1,0.8999999585126052,0,1
1,0.8999999527306867,1,1
1,0.8999999585537409,1,1
1,0.8999999626619722,1,1
1,0.8999999570002928,1,1
1,0.8999999528610941,1,1
1,0.8999999533386924,1,1
1,0.8999999522774434,1,1
1,0.8999999504886176,1,1
1,0.8999999511104125,1,1
1,0.8999999481802032,1,1
1,0.8999999539604849,1,1
1,0.899999957,0,1
1,0.8999999516042508,1,1
1,0.8999999494381353,1,1
1,0.8999999561464962,1,1
1,0.8999999496739773,1,1
1,0.8999999594925842,1,1
1,0.8999999395447158,1,1
1,0.8999999530318935,1,1
1,0.8999999502172931,1,1
1,0.899999956,1,1
1,0.8999999540349831,1,1
1,0.8999999514058804,1,1
1,0.8999999531760197,1,1
1,0.8999999503774888,1,1
1,0.8999999556951498,1,1
1,0.8999999527975999,0,1
1,0.8999999628429157,1,1
1,0.8999999493448831,1,1
1,0.8999999536431885,1,1
1,0.8999999572086708,0,1
1,0.8999999560391163,1,1
1,0.8999999560070611,1,1
1,0.8999999515250839,1,1
1,0.8999999558084227,1,1
1,0.8999999536232423,1,1
1,0.8999999569321281,1,1
1,0.8999999512301226,1,1
1,0.8999999537077985,1,1
1,0.8999999562933184,1,1
1,0.8999999524483858,1,1
1,0.8999999498589436,1,1
1,0.8999999476860094,1,1
1,0.8999999550393041,1,1
1,0.8999999464438562,1,1
1,0.8999999595836171,1,1
1,0.8999999499630567,1,1
1,0.89999996,1,1
1,0.8999999544757464,1,1
1,0.8999999591262292,1,1
1,0.899999952,1,1
1,0.8999999487231377,1,1
1,0.8999999557770991,1,1
1,0.8999999507185751,1,1
1,0.8999999410122491,1,1
1,0.8999999548984289,1,1
1,0.8999999477306279,1,1
1,0.8999999555062896,1,1
1,0.8999999462060152,1,1
1,0.8999999547485363,1,1
1,0.8999999577933072,1,1
1,0.8999999541992806,1,1
1,0.8999999475889271,1,1
1,0.8999999489279907,1,1
1,0.8999999457219404,1,1
1,0.8999999527425121,0,1
1,0.8999999579404405,1,1
1,0.8999999429945188,1,1
1,0.8999999412241368,1,1
1,0.8999999579520472,1,1
1,0.8999999634477788,1,1
1,0.8999999624518139,1,1
1,0.8999999631641766,1,1
1,0.8999999587985948,1,1
1,0.8999999585246992,1,1
1,0.8999999640919775,1,1
1,0.899999948,1,1
1,0.8999999671784245,0,1
1,0.8999999643817719,0,1
1,0.8999999545962915,1,1
1,0.899999954,1,1
1,0.8999999600568069,1,1
1,0.8999999564974085,1,1
1,0.8999999563386977,1,1
1,0.8999999397885489,1,1
1,0.8999999607702345,1,1
1,0.8999999559443038,1,1
1,0.8999999568423475,1,1
1,0.8999999601125112,1,1
1,0.8999999504425051,1,1
1,0.8999999560132396,1,1
1,0.8999999628591943,1,1
1,0.8999999633266188,1,1
1,0.8999999578432024,1,1
1,0.8999999647089494,0,1
1,0.8999999600080115,1,1
1,0.8999999646687155,1,1
1,0.899999953,1,1
1,0.8999999564729845,1,1
1,0.8999999440054527,1,1
1,0.8999999542083911,1,1
1,0.8999999598899281,1,1
1,0.8999999615310572,1,1
1,0.8999999613970527,1,1
1,0.8999999605492607,1,1
1,0.8999999530359968,1,1
1,0.899999936,1,1
1,0.8999999721194413,1,1
1,0.8999999440809753,1,1
1,0.8999999628241401,1,1
1,0.8999999442706988,1,1
1,0.8999999633583834,1,1
1,0.8999999555185323,1,1
1,0.899999954,1,1
1,0.8999999557592929,1,1
1,0.8999999553227419,1,1
1,0.8999999559592989,1,1
1,0.8999999479096804,1,1
1,0.8999999566999858,1,1
1,0.8999999497856155,1,1
1,0.8999999566034252,1,1
1,0.8999999542278041,1,1
1,0.899999956,1,1
1,0.8999999571650855,1,1
1,0.8999999524243177,1,1
1,0.8999999575206619,1,1
1,0.8999999551288191,1,1
1,0.8999999594273794,1,1
1,0.8999999593216169,1,1
1,0.8999999494875967,1,1
