Adaptive MI,Universal MI,EMI,ATT
1.0,0.8999999471111806,1.0,1.0
1.0,0.8999999472487564,1.0,1.0
1.0,0.8999999508043243,0.0,1.0
1.0,0.8999999459517939,1.0,1.0
1.0,0.8999999402370706,1.0,1.0
1.0,0.8999999526423924,1.0,1.0
1.0,0.8999999485027694,1.0,1.0
1.0,0.8999999449747486,1.0,1.0
1.0,0.8999999499684338,1.0,1.0
1.0,0.8999999501988449,1.0,1.0
1.0,0.8999999445884034,1.0,1.0
1.0,0.899999948721817,1.0,1.0
1.0,0.8999999501298466,0.0,1.0
1.0,0.8999999473008028,1.0,1.0
1.0,0.8999999503452389,1.0,1.0
1.0,0.8997426681184948,0.8293105801735265,1.0
1.0,0.8998012562649359,0.6161536520497972,0.6287449845953865
1.0,0.8999999498682606,1.0,1.0
1.0,0.8999999507063848,1.0,1.0
1.0,0.8999999489774326,1.0,1.0
1.0,0.8999999557451576,1.0,1.0
1.0,0.8999999409911555,1.0,1.0
1.0,0.899999948351795,1.0,1.0
1.0,0.8999999512748003,1.0,1.0
1.0,0.8999999604719161,1.0,1.0
1.0,0.8999999493439387,1.0,1.0
1.0,0.8999999600461973,1.0,1.0
1.0,0.8999999684299759,1.0,1.0
1.0,0.8999999543167472,1.0,1.0
1.0,0.8999999562176128,1.0,1.0
1.0,0.8999999483653437,1.0,1.0
1.0,0.899999956880924,0.0,1.0
1.0,0.899999950557514,1.0,1.0
1.0,0.8999999592185696,1.0,1.0
1.0,0.8999999531319767,1.0,1.0
1.0,0.8999999506555911,1.0,1.0
1.0,0.8999999525283606,1.0,1.0
1.0,0.899999954557082,0.0,1.0
1.0,0.8999999510847235,0.0,1.0
1.0,0.8999999511505387,1.0,1.0
1.0,0.8999999497560179,1.0,1.0
1.0,0.8999999487874021,1.0,1.0
1.0,0.899999953032863,1.0,1.0
1.0,0.8999999485071384,1.0,1.0
1.0,0.8999999532049443,1.0,1.0
1.0,0.899999952759718,1.0,1.0
1.0,0.899999955681407,1.0,1.0
1.0,0.8999999562818901,1.0,1.0
1.0,0.8999999543932703,0.0,1.0
1.0,0.89999995770586,1.0,1.0
1.0,0.8999999601485487,1.0,1.0
1.0,0.899999955730831,1.0,1.0
1.0,0.8999999589708683,1.0,1.0
1.0,0.8999999599942876,1.0,1.0
