timestamp,mi_score,behavioral_state,file
106.5,0.5294661365168688,Focused,UnicornRecorder_12_05_2025_12_41_310
108.0,0.6846050276340812,Focused,UnicornRecorder_12_05_2025_12_41_310
109.5,0.819623166471827,Focused,UnicornRecorder_12_05_2025_12_41_310
111.0,0.6530128959408914,Focused,UnicornRecorder_12_05_2025_12_41_310
112.5,0.6755430980696739,Focused,UnicornRecorder_12_05_2025_12_41_310
114.0,0.8226933952773526,Focused,UnicornRecorder_12_05_2025_12_41_310
115.5,0.6599637939776775,Focused,UnicornRecorder_12_05_2025_12_41_310
117.0,0.6159540537584012,Focused,UnicornRecorder_12_05_2025_12_41_310
118.5,0.7243479799692397,Focused,UnicornRecorder_12_05_2025_12_41_310
120.0,0.6833083306236858,Focused,UnicornRecorder_12_05_2025_12_41_310
121.5,0.7458124734588569,Focused,UnicornRecorder_12_05_2025_12_41_310
123.0,0.6758468703804749,Focused,UnicornRecorder_12_05_2025_12_41_310
124.5,0.624070333973396,Focused,UnicornRecorder_12_05_2025_12_41_310
126.0,0.7140816811051303,Focused,UnicornRecorder_12_05_2025_12_41_310
127.5,0.7110578846349548,Focused,UnicornRecorder_12_05_2025_12_41_310
129.0,0.6096945080816696,Focused,UnicornRecorder_12_05_2025_12_41_310
130.5,0.9812723220482742,Focused,UnicornRecorder_12_05_2025_12_41_310
132.0,0.9801431113072486,Focused,UnicornRecorder_12_05_2025_12_41_310
133.5,0.9863775272284698,Focused,UnicornRecorder_12_05_2025_12_41_310
135.0,0.8918398073846622,Focused,UnicornRecorder_12_05_2025_12_41_310
136.5,0.6093506909942382,Focused,UnicornRecorder_12_05_2025_12_41_310
138.0,0.9561777105559948,Focused,UnicornRecorder_12_05_2025_12_41_310
139.5,0.993845373813993,Focused,UnicornRecorder_12_05_2025_12_41_310
141.0,0.9949961483987932,Focused,UnicornRecorder_12_05_2025_12_41_310
142.5,0.982085946138391,Focused,UnicornRecorder_12_05_2025_12_41_310
144.0,0.979583658119042,Focused,UnicornRecorder_12_05_2025_12_41_310
145.5,0.9490841340084714,Focused,UnicornRecorder_12_05_2025_12_41_310
147.0,0.9391041320174462,Focused,UnicornRecorder_12_05_2025_12_41_310
148.5,0.79924040672654,Focused,UnicornRecorder_12_05_2025_12_41_310
150.0,0.6372490134269044,Focused,UnicornRecorder_12_05_2025_12_41_310
151.5,0.5891268612906825,Focused,UnicornRecorder_12_05_2025_12_41_310
153.0,0.6358478053060506,Focused,UnicornRecorder_12_05_2025_12_41_310
