timestamp,mi_score,behavioral_state,file
135.0,0.76,Focused,UnicornRecorder_12_05_2025_12_41_310
136.5,0.4,Neutral,UnicornRecorder_12_05_2025_12_41_310
138.0,0.91,Focused,UnicornRecorder_12_05_2025_12_41_310
139.5,0.99,Focused,UnicornRecorder_12_05_2025_12_41_310
141.0,0.98,Focused,UnicornRecorder_12_05_2025_12_41_310
142.5,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
144.0,0.94,Focused,UnicornRecorder_12_05_2025_12_41_310
145.5,0.86,Focused,UnicornRecorder_12_05_2025_12_41_310
147.0,0.84,Focused,UnicornRecorder_12_05_2025_12_41_310
148.5,0.6,Focused,UnicornRecorder_12_05_2025_12_41_310
150.0,0.43,Neutral,UnicornRecorder_12_05_2025_12_41_310
151.5,0.36,Unfocused,UnicornRecorder_12_05_2025_12_41_310
153.0,0.41,Neutral,UnicornRecorder_12_05_2025_12_41_310
154.5,0.52,Focused,UnicornRecorder_12_05_2025_12_41_310
156.0,0.57,Focused,UnicornRecorder_12_05_2025_12_41_310
157.5,0.71,Focused,UnicornRecorder_12_05_2025_12_41_310
159.0,0.73,Focused,UnicornRecorder_12_05_2025_12_41_310
160.5,0.47,Neutral,UnicornRecorder_12_05_2025_12_41_310
162.0,0.51,Focused,UnicornRecorder_12_05_2025_12_41_310
163.5,0.45,Neutral,UnicornRecorder_12_05_2025_12_41_310
165.0,0.52,Focused,UnicornRecorder_12_05_2025_12_41_310
166.5,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
168.0,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
169.5,0.56,Focused,UnicornRecorder_12_05_2025_12_41_310
171.0,0.64,Focused,UnicornRecorder_12_05_2025_12_41_310
172.5,0.47,Neutral,UnicornRecorder_12_05_2025_12_41_310
174.0,0.37,Unfocused,UnicornRecorder_12_05_2025_12_41_310
175.5,0.36,Unfocused,UnicornRecorder_12_05_2025_12_41_310
177.0,0.37,Unfocused,UnicornRecorder_12_05_2025_12_41_310
178.5,0.31,Unfocused,UnicornRecorder_12_05_2025_12_41_310
180.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
181.5,0.6,Focused,UnicornRecorder_12_05_2025_12_41_310
183.0,0.55,Focused,UnicornRecorder_12_05_2025_12_41_310
184.5,0.5,Focused,UnicornRecorder_12_05_2025_12_41_310
186.0,0.39,Neutral,UnicornRecorder_12_05_2025_12_41_310
187.5,0.47,Neutral,UnicornRecorder_12_05_2025_12_41_310
189.0,0.53,Focused,UnicornRecorder_12_05_2025_12_41_310
190.5,0.49,Neutral,UnicornRecorder_12_05_2025_12_41_310
192.0,0.38,Neutral,UnicornRecorder_12_05_2025_12_41_310
193.5,0.36,Unfocused,UnicornRecorder_12_05_2025_12_41_310
195.0,0.33,Unfocused,UnicornRecorder_12_05_2025_12_41_310
196.5,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
198.0,0.41,Neutral,UnicornRecorder_12_05_2025_12_41_310
199.5,0.44,Neutral,UnicornRecorder_12_05_2025_12_41_310
201.0,0.42,Neutral,UnicornRecorder_12_05_2025_12_41_310
