timestamp,mi,state
2025-05-28 13:57:46.150221,5017729753574.27,Focused
2025-05-28 13:57:46.279222,5017729753574.27,Focused
2025-05-28 13:57:46.381221,5017729753574.27,Focused
2025-05-28 13:57:46.486221,5017729753574.27,Focused
2025-05-28 13:57:46.590220,5017729753574.27,Focused
2025-05-28 13:57:46.695218,5017729753574.27,Focused
2025-05-28 13:57:46.798220,5017729753574.27,Focused
2025-05-28 13:57:46.896221,5017729753574.27,Focused
2025-05-28 13:57:46.997219,5017729753574.27,Focused
2025-05-28 13:57:47.102220,5017729753574.27,Focused
2025-05-28 13:57:47.205220,-128325619141525.02,Unfocused
2025-05-28 13:57:47.332219,5000405884934.785,Focused
2025-05-28 13:57:47.441229,-128099385331031.39,Unfocused
2025-05-28 13:57:47.551216,4983145228156.344,Focused
2025-05-28 13:57:47.676219,-127873976424830.22,Unfocused
2025-05-28 13:57:47.806221,4965947437894.863,Focused
2025-05-28 13:57:47.948221,-127649387919425.17,Unfocused
2025-05-28 13:57:48.093222,-127649387919425.17,Unfocused
2025-05-28 13:57:48.214217,-127649387919425.17,Unfocused
2025-05-28 13:57:48.352220,-127649387919425.17,Unfocused
2025-05-28 13:57:48.486219,4948812171317.492,Focused
2025-05-28 13:57:48.611223,4948812171317.492,Focused
2025-05-28 13:57:48.726219,4948812171317.492,Focused
2025-05-28 13:57:48.849218,4948812171317.492,Focused
2025-05-28 13:57:48.957225,4948812171317.492,Focused
2025-05-28 13:57:49.118220,4948812171317.492,Focused
2025-05-28 13:57:49.230218,4948812171317.492,Focused
2025-05-28 13:57:49.354217,-127425615344042.12,Unfocused
2025-05-28 13:57:49.463218,4931739088079.507,Focused
2025-05-28 13:57:49.578232,-127202654260332.83,Unfocused
2025-05-28 13:57:49.694220,4914727850301.895,Focused
2025-05-28 13:57:49.822224,-126980500262081.33,Unfocused
2025-05-28 13:57:49.933222,4897778122549.182,Focused
2025-05-28 13:57:50.041237,-126759148974913.6,Unfocused
2025-05-28 13:57:50.152219,-126759148974913.6,Unfocused
2025-05-28 13:57:50.286220,-126759148974913.6,Unfocused
2025-05-28 13:57:50.406228,-126759148974913.6,Unfocused
2025-05-28 13:57:50.521222,4880889571807.224,Focused
2025-05-28 13:57:50.636223,4880889571807.224,Focused
2025-05-28 13:57:50.750225,4880889571807.224,Focused
2025-05-28 13:57:50.887216,4880889571807.224,Focused
2025-05-28 13:57:51.006220,4880889571807.224,Focused
2025-05-28 13:57:51.123225,4880889571807.224,Focused
2025-05-28 13:57:51.242216,4880889571807.224,Focused
2025-05-28 13:57:51.372221,-126538596056010.61,Unfocused
2025-05-28 13:57:51.492217,4864061867461.547,Focused
2025-05-28 13:57:51.616219,-126318837193824.19,Unfocused
2025-05-28 13:57:51.737219,4847294681275.507,Focused
2025-05-28 13:57:51.868220,-126099868107796.25,Unfocused
2025-05-28 13:57:51.991214,4830587687369.292,Focused
2025-05-28 13:57:52.117216,-125881684548080.6,Unfocused
2025-05-28 13:57:52.240222,-125881684548080.6,Unfocused
2025-05-28 13:57:52.377229,-125881684548080.6,Unfocused
2025-05-28 13:57:52.494219,-125881684548080.6,Unfocused
2025-05-28 13:57:52.620219,4813940562198.463,Focused
2025-05-28 13:57:52.741220,4813940562198.463,Focused
2025-05-28 13:57:52.869219,4813940562198.463,Focused
2025-05-28 13:57:53.028216,4813940562198.463,Focused
2025-05-28 13:57:53.159219,4813940562198.463,Focused
2025-05-28 13:57:53.314217,4813940562198.463,Focused
2025-05-28 13:57:53.436221,4813940562198.463,Focused
2025-05-28 13:57:53.565221,-125664282295268.19,Unfocused
2025-05-28 13:57:53.695219,4797352984533.356,Focused
2025-05-28 13:57:53.833221,-125447657160114.95,Unfocused
2025-05-28 13:57:53.952216,4780824635438.373,Focused
2025-05-28 13:57:54.084219,-125231804983272.88,Unfocused
2025-05-28 13:57:54.219224,4764355198251.353,Focused
2025-05-28 13:57:54.356243,-125016721635023.7,Unfocused
2025-05-28 13:57:54.480219,-125016721635023.7,Unfocused
2025-05-28 13:57:54.617220,-125016721635023.7,Unfocused
2025-05-28 13:57:54.743217,-125016721635023.7,Unfocused
2025-05-28 13:57:54.882221,4747944358563.612,Focused
2025-05-28 13:57:55.001220,4747944358563.612,Focused
2025-05-28 13:57:55.133218,4747944358563.612,Focused
2025-05-28 13:57:55.314224,4747944358563.612,Focused
2025-05-28 13:57:55.454220,4747944358563.612,Focused
2025-05-28 13:57:55.597220,4747944358563.612,Focused
2025-05-28 13:57:55.760222,4747944358563.612,Focused
2025-05-28 13:57:55.906215,-124802403015015.52,Unfocused
2025-05-28 13:57:56.043222,4731591804199.627,Focused
